Title: Gale2013MORB-9

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1573.15 100.136775 276.038752 -1192973.703089 36.420688 150.871610 1.890 49.1117 1.62987 16.1889 1.36333 8.5744 0.165687 8.1688 11.7665 2.71138 0.14715 0.172254 62.9
5000.00 1568.15 100.136919 275.558786 -1193730.111903 36.408113 150.872349 1.910 49.1117 1.62987 16.1889 1.36476 8.57309 0.165687 8.16879 11.7664 2.71137 0.14715 0.172254 62.9
5000.00 1563.15 100.137069 275.077293 -1194486.601724 36.395541 150.873115 1.929 49.1116 1.62987 16.1889 1.36625 8.57174 0.165687 8.16878 11.7664 2.71137 0.14715 0.172254 62.9
5000.00 1558.15 100.137223 274.594263 -1195243.174030 36.382972 150.873907 1.949 49.1115 1.62986 16.1889 1.36779 8.57034 0.165687 8.16877 11.7664 2.71137 0.147149 0.172253 63.0
5000.00 1553.15 100.137383 274.109686 -1195999.830332 36.370408 150.874727 1.969 49.1114 1.62986 16.1888 1.36938 8.56889 0.165686 8.16875 11.7664 2.71136 0.147149 0.172253 63.0
5000.00 1548.15 100.137548 273.623551 -1196756.572170 36.357847 150.875575 1.989 49.1114 1.62986 16.1888 1.37102 8.5674 0.165686 8.16874 11.7664 2.71136 0.147149 0.172253 63.0
5000.00 1543.15 100.137719 273.135848 -1197513.401116 36.345290 150.876451 2.009 49.1113 1.62986 16.1888 1.37272 8.56585 0.165686 8.16872 11.7664 2.71135 0.147149 0.172252 63.0
5000.00 1538.15 99.394882 270.636914 -1189193.024198 36.066316 149.699976 2.034 49.0947 1.63934 16.2703 1.37532 8.58555 0.166924 8.09757 11.7189 2.72968 0.148248 0.17354 62.7
5000.00 1533.15 96.150913 261.392636 -1150355.854935 34.892220 144.568320 2.076 49.0294 1.68097 16.6306 1.38006 8.67514 0.172556 7.78534 11.5008 2.81251 0.15325 0.179395 61.5

clinopyroxene_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp structure formula SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5
5000.00 1538.15 0.742980 1.798164 -9402.106733 0.230714 0.896289 cpx Na0.02Ca0.71Fe''0.18Mg0.96Fe'''0.03Ti0.01Al0.23Si1.87O6 51.3251 0.360642 5.2769 1.21729 5.75602 0 17.6859 18.1192 0.258912 0 0
5000.00 1533.15 3.987116 9.630749 -50410.103805 1.236444 4.802592 cpx Na0.02Ca0.71Fe''0.18Mg0.95Fe'''0.03Ti0.01Al0.24Si1.86O6 51.0823 0.397124 5.53211 1.27323 5.85989 0 17.4135 18.1703 0.27158 0 0
