Title: Gale2013MORB-4

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1323.15 100.071806 0.468966 0.175665 25.767754 23.994160 0.000000 47.191506 0.000000 2.068582 0.405173 
5000.00 1318.15 100.069838 0.360409 0.185118 25.699992 23.996096 0.000000 47.323389 0.000000 2.096627 0.408206 
5000.00 1313.15 100.067970 0.263491 0.191775 25.633139 24.002030 0.000000 47.445303 0.000000 2.121412 0.410820 
5000.00 1308.15 100.066190 0.176375 0.196271 25.567539 24.010972 0.000000 47.558453 0.000000 2.143486 0.413093 
5000.00 1303.15 100.064491 0.097609 0.199082 25.503400 24.022184 0.000000 47.663852 0.000000 2.163276 0.415088 
5000.00 1298.15 100.062866 0.026028 0.200564 25.440847 24.035109 0.000000 47.762352 0.000000 2.181116 0.416850 
5000.00 1293.15 100.061902 0.000000 0.204300 25.417172 24.045899 0.000000 47.791895 0.000000 2.185156 0.417479 
5000.00 1288.15 100.061325 0.000000 0.209930 25.417486 24.054765 0.000000 47.780500 0.000000 2.181166 0.417479 
5000.00 1283.15 100.060748 0.000000 0.215537 25.417913 24.063667 0.000000 47.769043 0.000000 2.177111 0.417479 
5000.00 1278.15 100.060170 0.000000 0.221120 25.418447 24.072614 0.000000 47.757523 0.000000 2.172988 0.417479 
5000.00 1273.15 100.059592 0.000000 0.226678 25.419082 24.081616 0.000000 47.745941 0.000000 2.168796 0.417479 
5000.00 1268.15 100.059012 0.000000 0.232211 25.419812 24.090682 0.000000 47.734295 0.000000 2.164534 0.417479 
5000.00 1263.15 100.058433 0.000000 0.237717 25.420633 24.099820 0.000000 47.722585 0.000000 2.160199 0.417479 
5000.00 1258.15 100.057852 0.000000 0.243196 25.421540 24.109037 0.000000 47.710811 0.000000 2.155789 0.417479 
5000.00 1253.15 100.057271 0.000000 0.248647 25.422529 24.118343 0.000000 47.698971 0.000000 2.151303 0.417479 
5000.00 1248.15 100.056690 0.000000 0.254068 25.423594 24.127745 0.000000 47.687066 0.000000 2.146738 0.417479 
5000.00 1243.15 100.056108 0.000000 0.259459 25.424733 24.137250 0.000000 47.675095 0.000000 2.142093 0.417479 
5000.00 1238.15 100.055525 0.000000 0.264819 25.425941 24.146865 0.000000 47.663057 0.000000 2.137364 0.417479 
5000.00 1233.15 100.054942 0.000000 0.270147 25.427216 24.156599 0.000000 47.650951 0.000000 2.132550 0.417479 
5000.00 1228.15 100.054359 0.000000 0.275441 25.428554 24.166458 0.000000 47.638778 0.000000 2.127649 0.417479 
5000.00 1223.15 100.053775 0.000000 0.280701 25.429952 24.176450 0.000000 47.626536 0.000000 2.122657 0.417479 
5000.00 1218.15 100.053191 0.000000 0.285926 25.431407 24.186581 0.000000 47.614226 0.000000 2.117572 0.417479 
5000.00 1213.15 100.052607 0.000000 0.291115 25.432916 24.196860 0.000000 47.601846 0.000000 2.112392 0.417479 
5000.00 1208.15 100.052022 0.000000 0.296266 25.434477 24.207292 0.000000 47.589395 0.000000 2.107113 0.417479 
5000.00 1203.15 100.051437 0.000000 0.301379 25.436087 24.217885 0.000000 47.576874 0.000000 2.101732 0.417479 
5000.00 1198.15 100.050852 0.000000 0.306453 25.437744 24.228647 0.000000 47.564281 0.000000 2.096247 0.417479 
5000.00 1193.15 100.050266 0.000000 0.311487 25.439446 24.239584 0.000000 47.551617 0.000000 2.090654 0.417479 
5000.00 1188.15 100.049681 0.000000 0.316479 25.441190 24.250705 0.000000 47.538880 0.000000 2.084949 0.417479 
5000.00 1183.15 100.049095 0.000000 0.321428 25.442974 24.262016 0.000000 47.526070 0.000000 2.079129 0.417479 
5000.00 1178.15 100.048509 0.000000 0.326334 25.444797 24.273525 0.000000 47.513185 0.000000 2.073189 0.417479 
5000.00 1173.15 100.047570 0.000000 0.331528 25.315566 24.318543 0.131394 47.487992 0.000000 2.045069 0.417479 
5000.00 1168.15 100.046126 0.000000 0.337097 24.998898 24.411295 0.451522 47.445093 0.000000 1.984743 0.417479 
5000.00 1163.15 100.044708 0.000000 0.342519 24.691992 24.501606 0.763029 47.402868 0.000000 1.925216 0.417479 
5000.00 1158.15 100.043061 0.000000 0.447510 23.150421 24.975577 2.684105 46.723528 0.168399 1.476042 0.417479 
5000.00 1153.15 100.041379 0.441816 0.547084 21.134190 25.632373 5.238817 45.781805 0.398424 0.866869 0.000000 
5000.00 1148.15 100.039618 0.441272 0.685698 19.193615 26.236147 7.714551 44.866726 0.627722 0.273887 0.000000 
5000.00 1143.15 100.038433 0.440796 0.749718 18.320125 26.501401 8.855206 44.439423 0.731765 0.000000 0.000000 
5000.00 1138.15 100.037772 0.440376 0.751323 18.345265 26.479390 8.862691 44.429355 0.729371 0.000000 0.000000 
5000.00 1133.15 100.037117 0.439970 0.752901 18.370207 26.457944 8.869845 44.419215 0.727036 0.000000 0.000000 
5000.00 1128.15 100.036469 0.439576 0.754450 18.394952 26.437053 8.876678 44.408997 0.724762 0.000000 0.000000 
5000.00 1123.15 100.035828 0.439194 0.755974 18.419503 26.416707 8.883203 44.398698 0.722549 0.000000 0.000000 
5000.00 1118.15 100.035194 0.438824 0.757470 18.443863 26.396897 8.889429 44.388312 0.720399 0.000000 0.000000 
