Title: Gale2013MORB-7

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.130519 36.822489 36.522000 0.000000 0.300489 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.130262 36.773172 36.219860 0.000000 0.553313 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.129984 36.724418 35.921725 0.000000 0.802692 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.129684 36.676186 35.627315 0.000000 1.048871 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.129362 36.628441 35.336349 0.000000 1.292092 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.129014 36.581144 35.048547 0.000000 1.532598 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.128640 36.534259 34.763631 0.000000 1.770628 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.128238 36.487749 34.481322 0.000000 2.006427 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.127807 36.441575 34.201340 0.000000 2.240236 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.126021 36.300927 33.098067 0.000000 0.000000 3.202860 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.125360 36.228687 32.615469 0.000000 0.000000 3.613218 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.124689 36.151409 32.097580 0.000000 0.000000 4.053830 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.124034 36.067909 31.536328 0.000000 0.000000 4.531581 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1508.15 100.122706 35.941085 30.199737 0.000000 0.000000 5.201640 0.000000 0.539708 0.000000 0.000000 0.000000 
5000.00 1503.15 100.119796 35.742345 27.387820 0.000000 0.000000 6.154631 0.000000 2.199894 0.000000 0.000000 0.000000 
5000.00 1498.15 100.117019 35.565336 24.915514 0.000000 0.000000 6.990985 0.000000 3.658838 0.000000 0.000000 0.000000 
5000.00 1493.15 100.114352 35.406337 22.722540 0.000000 0.000000 7.731684 0.000000 4.952113 0.000000 0.000000 0.000000 
5000.00 1488.15 100.111773 35.262479 20.763475 0.000000 0.000000 8.393018 0.000000 6.105985 0.000000 0.000000 0.000000 
5000.00 1483.15 100.109269 35.131554 19.003628 0.000000 0.000000 8.987586 0.000000 7.140340 0.000000 0.000000 0.000000 
5000.00 1478.15 100.106825 35.011856 17.416113 0.000000 0.000000 9.525120 0.000000 8.070623 0.000000 0.000000 0.000000 
5000.00 1473.15 100.104432 34.902037 15.979331 0.000000 0.000000 10.013244 0.000000 8.909462 0.000000 0.000000 0.000000 
