Title: Gale2013MORB-7

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1423.15 20.174447 52.050011 -240775.876049 7.385946 27.945066 3.475 55.3264 5.70095 12.4456 1.38758 8.5116 0.857764 2.61465 9.50742 2.31735 0.503658 0.826996 35.4
5000.00 1418.15 18.952589 48.769425 -226648.981917 6.940665 26.231828 3.528 55.4607 5.97992 12.3411 1.35293 8.25784 0.913063 2.52608 9.55591 2.20705 0.525056 0.880312 35.3
5000.00 1413.15 17.866018 45.853301 -214124.828000 6.545580 24.709464 3.582 55.6105 6.24842 12.2462 1.31581 7.98988 0.968594 2.44126 9.59939 2.09998 0.546154 0.933851 35.3
5000.00 1408.15 16.899270 43.259350 -203014.738663 6.194912 23.355609 3.640 55.7769 6.50352 12.16 1.27675 7.71173 1.024 2.35975 9.63587 1.99733 0.566892 0.987273 35.3
5000.00 1403.15 16.009611 40.879129 -192818.991342 5.873654 22.101657 3.710 56.0281 6.74898 12.0977 1.23448 7.43047 1.08091 2.27731 9.61466 1.903 0.588054 0.996345 35.3
5000.00 1398.15 15.222907 38.772904 -183829.636682 5.590293 20.994237 3.781 56.2856 6.97344 12.0388 1.19159 7.14436 1.13677 2.19862 9.59384 1.81395 0.608597 1.01439 35.4
5000.00 1393.15 14.519685 36.889779 -175817.727096 5.337825 20.003834 3.856 56.5654 7.17615 11.9859 1.14803 6.85674 1.19182 2.12249 9.5619 1.73116 0.628691 1.03169 35.6
5000.00 1388.15 13.767583 34.896284 -167398.515618 5.075529 18.939288 3.971 57.1513 7.2004 11.9593 1.09098 6.48922 1.25047 2.03265 9.46053 1.67348 0.652607 1.03908 35.8
5000.00 1383.15 12.874802 32.561943 -157576.164452 4.774621 17.668313 4.160 58.3118 6.88878 11.9682 1.01055 5.98488 1.31473 1.9176 9.2361 1.65555 0.68414 1.02761 36.4
5000.00 1378.15 12.123560 30.592006 -149251.905289 4.519649 16.599512 4.337 59.3674 6.61135 11.96 0.939117 5.54177 1.37282 1.81622 9.0282 1.63153 0.712944 1.0187 36.9
5000.00 1373.15 11.480578 28.901461 -142082.923556 4.300117 15.685163 4.505 60.3391 6.35952 11.9395 0.875109 5.14828 1.42543 1.72561 8.8328 1.6035 0.73945 1.01166 37.4
5000.00 1368.15 10.920120 27.424739 -135799.259667 4.107790 14.887887 4.667 61.2521 6.12672 11.9117 0.817134 4.79564 1.47332 1.64332 8.64149 1.57322 0.764107 1.00126 37.9
