Title: Gale2013MORB-7

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1398.15 100.074881 15.222907 0.000000 0.000000 35.112870 11.145202 38.566755 0.000000 0.000000 0.027147 
5000.00 1393.15 100.073303 14.519685 0.000000 0.000000 35.108821 11.525895 38.881657 0.000000 0.000000 0.037244 
5000.00 1388.15 100.071657 13.767583 0.000000 0.000000 35.054928 11.910010 39.212129 0.000000 0.075029 0.051978 
5000.00 1383.15 100.069748 12.874802 0.000000 0.000000 34.899207 12.302249 39.626313 0.000000 0.291700 0.075477 
5000.00 1378.15 100.067894 12.123560 0.000000 0.000000 34.747159 12.634708 39.996506 0.000000 0.471255 0.094706 
5000.00 1373.15 100.066107 11.480578 0.000000 0.000000 34.598398 12.923353 40.329760 0.000000 0.623232 0.110785 
5000.00 1368.15 100.064384 10.920120 0.000000 0.000000 34.452538 13.179225 40.632279 0.000000 0.754565 0.125658 
5000.00 1363.15 100.062730 10.428073 0.000000 0.000000 34.310178 13.408619 40.908165 0.000000 0.869097 0.138598 
5000.00 1358.15 100.061143 9.991900 0.000000 0.000000 34.171459 13.616607 41.161142 0.000000 0.970078 0.149957 
5000.00 1353.15 100.059619 9.602007 0.000000 0.000000 34.036474 13.806913 41.394259 0.000000 1.059940 0.160026 
5000.00 1348.15 100.058155 9.250951 0.000000 0.000000 33.905283 13.982335 41.610026 0.000000 1.140539 0.169022 
5000.00 1343.15 100.056748 8.932863 0.000000 0.000000 33.777902 14.145027 41.810524 0.000000 1.213316 0.177115 
5000.00 1338.15 100.055393 8.643043 0.000000 0.000000 33.654319 14.296682 41.997496 0.000000 1.279414 0.184439 
5000.00 1333.15 100.054088 8.377678 0.000000 0.000000 33.534492 14.438656 42.172413 0.000000 1.339749 0.191100 
5000.00 1328.15 100.052830 8.133636 0.000000 0.000000 33.418360 14.572051 42.336526 0.000000 1.395071 0.197185 
5000.00 1323.15 100.051616 7.908322 0.000000 0.000000 33.305846 14.697779 42.490907 0.000000 1.445997 0.202764 
5000.00 1318.15 100.050442 7.699561 0.000000 0.000000 33.196862 14.816601 42.636480 0.000000 1.493041 0.207897 
5000.00 1313.15 100.049308 7.505516 0.000000 0.000000 33.091312 14.929164 42.774048 0.000000 1.536636 0.212632 
5000.00 1308.15 100.048210 7.324624 0.000000 0.000000 32.989094 15.036019 42.904312 0.000000 1.577149 0.217012 
5000.00 1303.15 100.047535 6.039398 0.000000 0.000000 32.839792 15.253322 43.398701 0.577682 1.697390 0.241250 
5000.00 1298.15 100.047152 4.373361 0.000000 0.000000 32.694082 15.483011 44.016561 1.365220 1.842224 0.272692 
5000.00 1293.15 100.046757 3.119604 0.000000 0.000000 32.584844 15.648384 44.494169 1.948954 1.953767 0.297034 
5000.00 1288.15 100.046356 2.143761 0.000000 0.000000 32.500471 15.771685 44.875920 2.395013 2.042848 0.316658 
5000.00 1283.15 100.045952 1.366262 0.000000 0.000000 32.433958 15.866201 45.187935 2.742700 2.115914 0.332981 
5000.00 1278.15 100.045545 0.737317 0.000000 0.000000 32.380732 15.940449 45.446406 3.016726 2.177019 0.346895 
5000.00 1273.15 100.044977 0.000000 0.119892 0.000000 32.181593 16.048405 45.734916 3.369891 2.225690 0.364590 
5000.00 1268.15 100.044521 0.000000 0.124933 0.000000 32.110800 16.124830 45.726930 3.369867 2.222570 0.364590 
5000.00 1263.15 100.044066 0.000000 0.129979 0.000000 32.042298 16.199165 45.718767 3.369894 2.219373 0.364590 
5000.00 1258.15 100.043612 0.000000 0.135029 0.000000 31.975988 16.271513 45.710422 3.369972 2.216098 0.364590 
5000.00 1253.15 100.043159 0.000000 0.140084 0.000000 31.911780 16.341971 45.701890 3.370103 2.212742 0.364590 
5000.00 1248.15 100.042709 0.000000 0.145143 0.000000 31.849591 16.410630 45.693166 3.370288 2.209302 0.364590 
5000.00 1243.15 100.042259 0.000000 0.150207 0.000000 31.789339 16.477577 45.684243 3.370529 2.205774 0.364590 
5000.00 1238.15 100.041811 0.000000 0.155276 0.000000 31.730953 16.542893 45.675117 3.370827 2.202156 0.364590 
5000.00 1233.15 100.041365 0.000000 0.160349 0.000000 31.674364 16.606655 45.665780 3.371183 2.198443 0.364590 
5000.00 1228.15 100.040920 0.000000 0.165429 0.000000 31.619506 16.668935 45.656227 3.371600 2.194633 0.364590 
5000.00 1223.15 100.040477 0.000000 0.170514 0.000000 31.566321 16.729802 45.646450 3.372079 2.190722 0.364590 
5000.00 1218.15 100.040036 0.000000 0.175605 0.000000 31.514751 16.789322 45.636443 3.372621 2.186704 0.364590 
5000.00 1213.15 100.039596 0.000000 0.180702 0.000000 31.464746 16.847557 45.626196 3.373229 2.182576 0.364590 
5000.00 1208.15 100.039157 0.000000 0.185806 0.000000 31.416254 16.904566 45.615703 3.373904 2.178333 0.364590 
5000.00 1203.15 100.038720 0.000000 0.190918 0.000000 31.369233 16.960407 45.604955 3.374649 2.173969 0.364590 
5000.00 1198.15 100.038285 0.000000 0.196037 0.000000 31.323638 17.015132 45.593942 3.375466 2.169480 0.364590 
5000.00 1193.15 100.037851 0.000000 0.201165 0.000000 31.279431 17.068795 45.582654 3.376358 2.164860 0.364590 
5000.00 1188.15 100.037419 0.000000 0.206302 0.000000 31.236575 17.121444 45.571081 3.377326 2.160101 0.364590 
5000.00 1183.15 100.036989 0.000000 0.211449 0.000000 31.195037 17.173128 45.559213 3.378374 2.155198 0.364590 
