Title: Gale2013MORB-4

Phase Masses:
Pressure Temperature mass liquid_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 
5000.00 1573.15 100.129935 100.129935 0.000000 0.000000 0.000000 
5000.00 1568.15 100.130072 100.130072 0.000000 0.000000 0.000000 
5000.00 1563.15 100.130215 100.130215 0.000000 0.000000 0.000000 
5000.00 1558.15 100.130362 100.130362 0.000000 0.000000 0.000000 
5000.00 1553.15 100.130514 100.130514 0.000000 0.000000 0.000000 
5000.00 1548.15 100.130672 100.130672 0.000000 0.000000 0.000000 
5000.00 1543.15 100.130497 99.363064 0.767432 0.000000 0.000000 
5000.00 1538.15 100.130282 98.566525 1.563757 0.000000 0.000000 
5000.00 1533.15 100.129324 96.218515 0.000000 3.910809 0.000000 
5000.00 1528.15 100.128784 94.392892 0.000000 5.735892 0.000000 
5000.00 1523.15 100.128575 91.816791 0.000000 5.042813 3.268971 
