Title: Gale2013MORB-4

Phase Volumes:
Pressure Temperature mass V liquid_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 
5000.00 1573.15 100.129935 36.697101 36.697101 0.000000 0.000000 0.000000 
5000.00 1568.15 100.130072 36.684787 36.684787 0.000000 0.000000 0.000000 
5000.00 1563.15 100.130215 36.672476 36.672476 0.000000 0.000000 0.000000 
5000.00 1558.15 100.130362 36.660169 36.660169 0.000000 0.000000 0.000000 
5000.00 1553.15 100.130514 36.647866 36.647866 0.000000 0.000000 0.000000 
5000.00 1548.15 100.130672 36.635566 36.635566 0.000000 0.000000 0.000000 
5000.00 1543.15 100.130497 36.588205 36.349932 0.238273 0.000000 0.000000 
5000.00 1538.15 100.130282 36.539636 36.054540 0.485096 0.000000 0.000000 
5000.00 1533.15 100.129324 36.423696 35.214275 0.000000 1.209421 0.000000 
5000.00 1528.15 100.128784 36.327461 34.555655 0.000000 1.771806 0.000000 
5000.00 1523.15 100.128575 36.192626 33.626719 0.000000 1.555557 1.010350 
