Title: Gale2013MORB-7

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1573.15 100.130519 36.822489 36.522000 0.000000 0.300489 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.130262 36.773172 36.219860 0.000000 0.553313 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.129984 36.724418 35.921725 0.000000 0.802692 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.129684 36.676186 35.627315 0.000000 1.048871 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.129362 36.628441 35.336349 0.000000 1.292092 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.129014 36.581144 35.048547 0.000000 1.532598 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.128640 36.534259 34.763631 0.000000 1.770628 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.128238 36.487749 34.481322 0.000000 2.006427 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.127807 36.441575 34.201340 0.000000 2.240236 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.126021 36.300927 33.098067 0.000000 0.000000 3.202860 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.125360 36.228687 32.615469 0.000000 0.000000 3.613218 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.124689 36.151409 32.097580 0.000000 0.000000 4.053830 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.124034 36.067909 31.536328 0.000000 0.000000 4.531581 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1508.15 100.122706 35.941085 30.199737 0.000000 0.000000 5.201640 0.000000 0.000000 0.539708 0.000000 0.000000 0.000000 
5000.00 1503.15 100.119796 35.742345 27.387820 0.000000 0.000000 6.154631 0.000000 0.000000 2.199894 0.000000 0.000000 0.000000 
5000.00 1498.15 100.117019 35.565336 24.915514 0.000000 0.000000 6.990985 0.000000 0.000000 3.658838 0.000000 0.000000 0.000000 
5000.00 1493.15 100.114352 35.406337 22.722540 0.000000 0.000000 7.731684 0.000000 0.000000 4.952113 0.000000 0.000000 0.000000 
5000.00 1488.15 100.111773 35.262479 20.763475 0.000000 0.000000 8.393018 0.000000 0.000000 6.105985 0.000000 0.000000 0.000000 
5000.00 1483.15 100.109269 35.131554 19.003628 0.000000 0.000000 8.987586 0.000000 0.000000 7.140340 0.000000 0.000000 0.000000 
5000.00 1478.15 100.106825 35.011856 17.416113 0.000000 0.000000 9.525120 0.000000 0.000000 8.070623 0.000000 0.000000 0.000000 
5000.00 1473.15 100.104432 34.902037 15.979331 0.000000 0.000000 10.013244 0.000000 0.000000 8.909462 0.000000 0.000000 0.000000 
5000.00 1468.15 100.102194 34.800356 14.678693 0.000000 0.000000 10.138069 0.325491 0.000000 9.658103 0.000000 0.000000 0.000000 
5000.00 1463.15 100.100004 34.706690 13.498114 0.000000 0.000000 10.213612 0.661553 0.000000 10.333410 0.000000 0.000000 0.000000 
5000.00 1458.15 100.097850 34.620473 12.427091 0.000000 0.000000 10.271735 0.979418 0.000000 10.942228 0.000000 0.000000 0.000000 
5000.00 1453.15 100.095728 34.541208 11.457143 0.000000 0.000000 10.316990 1.277294 0.000000 11.489780 0.000000 0.000000 0.000000 
5000.00 1448.15 100.093635 34.468480 10.581010 0.000000 0.000000 10.352484 1.554314 0.000000 11.980672 0.000000 0.000000 0.000000 
5000.00 1443.15 100.091572 34.401915 9.792156 0.000000 0.000000 10.380291 1.810336 0.000000 12.419131 0.000000 0.000000 0.000000 
5000.00 1438.15 100.089541 34.341150 9.084385 0.000000 0.000000 10.401777 2.045802 0.000000 12.809187 0.000000 0.000000 0.000000 
5000.00 1433.15 100.087545 34.285810 8.451562 0.000000 0.000000 10.417851 2.261608 0.000000 13.154788 0.000000 0.000000 0.000000 
5000.00 1428.15 100.085589 34.235496 7.887500 0.000000 0.000000 10.429153 2.458992 0.000000 13.459851 0.000000 0.000000 0.000000 
5000.00 1423.15 100.083678 34.189787 7.385946 0.000000 0.000000 10.436182 2.639411 0.000000 13.728248 0.000000 0.000000 0.000000 
5000.00 1418.15 100.081816 34.148251 6.940665 0.000000 0.000000 10.439389 2.804436 0.000000 13.963761 0.000000 0.000000 0.000000 
5000.00 1413.15 100.080009 34.110450 6.545580 0.000000 0.000000 10.439214 2.955648 0.000000 14.170008 0.000000 0.000000 0.000000 
5000.00 1408.15 100.078260 34.075961 6.194912 0.000000 0.000000 10.436113 3.094570 0.000000 14.350367 0.000000 0.000000 0.000000 
5000.00 1403.15 100.076530 34.043328 5.873654 0.000000 0.000000 10.430270 3.226413 0.000000 14.507949 0.000000 0.000000 0.005042 
5000.00 1398.15 100.074881 34.013607 5.590293 0.000000 0.000000 10.422450 3.347360 0.000000 14.644961 0.000000 0.000000 0.008544 
5000.00 1393.15 100.073303 33.986186 5.337825 0.000000 0.000000 10.413148 3.459448 0.000000 14.764043 0.000000 0.000000 0.011721 
5000.00 1388.15 100.071657 33.960277 5.075529 0.000000 0.000000 10.390581 3.573257 0.000000 14.888041 0.000000 0.016512 0.016358 
5000.00 1383.15 100.069748 33.936678 4.774621 0.000000 0.000000 10.340624 3.691407 0.000000 15.042110 0.000000 0.064161 0.023754 
5000.00 1378.15 100.067894 33.916404 4.519649 0.000000 0.000000 10.292086 3.791646 0.000000 15.179612 0.000000 0.103605 0.029806 
5000.00 1373.15 100.066107 33.898619 4.300117 0.000000 0.000000 10.244751 3.878748 0.000000 15.303183 0.000000 0.136955 0.034866 
5000.00 1368.15 100.064384 33.882692 4.107790 0.000000 0.000000 10.198445 3.956020 0.000000 15.415145 0.000000 0.165744 0.039547 
5000.00 1363.15 100.062730 33.868277 3.938149 0.000000 0.000000 10.153295 4.025343 0.000000 15.517048 0.000000 0.190823 0.043619 
5000.00 1358.15 100.061143 33.855075 3.787137 0.000000 0.000000 10.109310 4.088232 0.000000 15.610293 0.000000 0.212910 0.047194 
5000.00 1353.15 100.059619 33.842861 3.651627 0.000000 0.000000 10.066496 4.145803 0.000000 15.696030 0.000000 0.232542 0.050363 
5000.00 1348.15 100.058155 33.831462 3.529184 0.000000 0.000000 10.024852 4.198895 0.000000 15.775207 0.000000 0.250130 0.053194 
5000.00 1343.15 100.056748 33.820744 3.417876 0.000000 0.000000 9.984374 4.248153 0.000000 15.848609 0.000000 0.265991 0.055741 
5000.00 1338.15 100.055393 33.810601 3.316150 0.000000 0.000000 9.945046 4.294084 0.000000 15.916896 0.000000 0.280378 0.058046 
