Title: Gale2013MORB-1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1343.15 100.076687 33.330962 0.715090 0.000000 9.027539 6.811785 0.000000 16.314543 0.000000 0.373130 0.088875 
5000.00 1338.15 100.074812 33.324475 0.650710 0.000000 9.012428 6.812931 0.000000 16.373404 0.000000 0.384462 0.090541 
5000.00 1333.15 100.072992 33.318244 0.591839 0.000000 8.995801 6.815063 0.000000 16.428755 0.000000 0.394729 0.092058 
5000.00 1328.15 100.071225 33.312226 0.537804 0.000000 8.977961 6.818046 0.000000 16.480916 0.000000 0.404056 0.093443 
5000.00 1323.15 100.069508 33.306389 0.488053 0.000000 8.959163 6.821758 0.000000 16.530156 0.000000 0.412548 0.094712 
5000.00 1318.15 100.067838 33.300705 0.442130 0.000000 8.939618 6.826088 0.000000 16.576704 0.000000 0.420290 0.095875 
5000.00 1313.15 100.065451 33.297558 0.396359 0.017421 8.910948 6.812495 0.000000 16.635917 0.000000 0.426957 0.097461 
5000.00 1308.15 100.063744 33.292602 0.358082 0.020540 8.888627 6.814653 0.000000 16.679334 0.000000 0.432926 0.098440 
5000.00 1303.15 100.062113 33.287608 0.323097 0.023030 8.866439 6.817790 0.000000 16.719657 0.000000 0.438293 0.099303 
5000.00 1298.15 100.060553 33.282619 0.290987 0.025010 8.844481 6.821680 0.000000 16.757250 0.000000 0.443143 0.100069 
5000.00 1293.15 100.059056 33.277633 0.261403 0.026576 8.822824 6.826147 0.000000 16.792384 0.000000 0.447546 0.100754 
5000.00 1288.15 100.057619 33.272648 0.234054 0.027800 8.801518 6.831052 0.000000 16.825295 0.000000 0.451560 0.101369 
5000.00 1283.15 100.056237 33.267662 0.208694 0.028744 8.780597 6.836285 0.000000 16.856186 0.000000 0.455231 0.101925 
5000.00 1278.15 100.055108 33.251935 0.000000 0.049723 8.773096 6.817562 0.000000 16.947086 0.094119 0.464385 0.105964 
5000.00 1273.15 100.054576 33.245407 0.000000 0.051077 8.766267 6.823859 0.000000 16.940552 0.094220 0.463468 0.105964 
5000.00 1268.15 100.054046 33.238876 0.000000 0.052433 8.759700 6.829964 0.000000 16.933941 0.094343 0.462532 0.105964 
5000.00 1263.15 100.053517 33.232342 0.000000 0.053788 8.753384 6.835888 0.000000 16.927252 0.094489 0.461576 0.105964 
5000.00 1258.15 100.052989 33.225803 0.000000 0.055145 8.747310 6.841642 0.000000 16.920484 0.094659 0.460599 0.105964 
5000.00 1253.15 100.052463 33.219260 0.000000 0.056502 8.741469 6.847238 0.000000 16.913632 0.094854 0.459601 0.105964 
5000.00 1248.15 100.051938 33.212713 0.000000 0.057861 8.735852 6.852684 0.000000 16.906697 0.095073 0.458582 0.105964 
5000.00 1243.15 100.051414 33.206160 0.000000 0.059220 8.730453 6.857990 0.000000 16.899674 0.095318 0.457541 0.105964 
5000.00 1238.15 100.050891 33.199602 0.000000 0.060580 8.725265 6.863166 0.000000 16.892563 0.095589 0.456476 0.105964 
5000.00 1233.15 100.050370 33.193038 0.000000 0.061940 8.720280 6.868221 0.000000 16.885360 0.095887 0.455387 0.105964 
5000.00 1228.15 100.049850 33.186469 0.000000 0.063302 8.715494 6.873161 0.000000 16.878062 0.096212 0.454274 0.105964 
5000.00 1223.15 100.049332 33.179892 0.000000 0.064665 8.710901 6.877996 0.000000 16.870668 0.096565 0.453135 0.105964 
5000.00 1218.15 100.048815 33.173309 0.000000 0.066028 8.706495 6.882733 0.000000 16.863173 0.096947 0.451969 0.105964 
5000.00 1213.15 100.048299 33.166718 0.000000 0.067393 8.702272 6.887378 0.000000 16.855575 0.097359 0.450776 0.105964 
5000.00 1208.15 100.047785 33.160119 0.000000 0.068759 8.698229 6.891940 0.000000 16.847872 0.097801 0.449555 0.105964 
5000.00 1203.15 100.047272 33.153512 0.000000 0.070127 8.694360 6.896425 0.000000 16.840058 0.098275 0.448303 0.105964 
5000.00 1198.15 100.046761 33.146896 0.000000 0.071496 8.690663 6.900840 0.000000 16.832132 0.098781 0.447021 0.105964 
5000.00 1193.15 100.046251 33.140271 0.000000 0.072866 8.687134 6.905190 0.000000 16.824089 0.099320 0.445707 0.105964 
5000.00 1188.15 100.045743 33.133635 0.000000 0.074238 8.683770 6.909484 0.000000 16.815926 0.099893 0.444360 0.105964 
5000.00 1183.15 100.045236 33.126988 0.000000 0.075612 8.680569 6.913726 0.000000 16.807637 0.100502 0.442978 0.105964 
