Title: Gale2013MORB-3

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 rhm-oxide_0 whitlockite 
5000.00 1343.15 100.087867 33.254613 0.000000 0.079395 0.000000 6.559935 8.289809 0.000000 17.722709 0.494912 0.107853 
5000.00 1338.15 100.087114 33.247849 0.000000 0.081266 0.000000 6.572017 8.278472 0.000000 17.714889 0.493351 0.107853 
5000.00 1333.15 100.086358 33.241082 0.000000 0.083128 0.000000 6.583668 8.267651 0.000000 17.707027 0.491754 0.107853 
5000.00 1328.15 100.085600 33.234311 0.000000 0.084981 0.000000 6.594909 8.257326 0.000000 17.699123 0.490119 0.107853 
5000.00 1323.15 100.084839 33.227538 0.000000 0.086824 0.000000 6.605760 8.247481 0.000000 17.691174 0.488445 0.107853 
5000.00 1318.15 100.084077 33.220760 0.000000 0.088657 0.000000 6.616240 8.238101 0.000000 17.683180 0.486729 0.107853 
5000.00 1313.15 100.083312 33.213979 0.000000 0.090479 0.000000 6.626364 8.229173 0.000000 17.675140 0.484970 0.107853 
5000.00 1308.15 100.082544 33.207190 0.000000 0.092291 0.000000 6.636149 8.220684 0.000000 17.667047 0.483166 0.107853 
5000.00 1303.15 100.081774 33.200351 0.000000 0.094091 0.000000 6.645607 8.212625 0.000000 17.658860 0.481315 0.107853 
5000.00 1298.15 100.081002 33.193508 0.000000 0.095879 0.000000 6.654751 8.204988 0.000000 17.650623 0.479414 0.107853 
5000.00 1293.15 100.080227 33.186660 0.000000 0.097655 0.000000 6.663592 8.197764 0.000000 17.642334 0.477461 0.107853 
5000.00 1288.15 100.079450 33.179807 0.000000 0.099418 0.000000 6.672141 8.190949 0.000000 17.633990 0.475454 0.107853 
5000.00 1283.15 100.078670 33.172947 0.000000 0.101168 0.000000 6.680407 8.184539 0.000000 17.625590 0.473389 0.107853 
5000.00 1278.15 100.077887 33.166080 0.000000 0.102903 0.000000 6.688398 8.178529 0.000000 17.617132 0.471264 0.107853 
5000.00 1273.15 100.077102 33.159207 0.000000 0.104624 0.000000 6.696121 8.172920 0.000000 17.608613 0.469075 0.107853 
5000.00 1268.15 100.076313 33.152326 0.000000 0.106330 0.000000 6.703583 8.167711 0.000000 17.600031 0.466818 0.107853 
5000.00 1263.15 100.075047 33.144172 0.000000 0.108156 0.000000 6.652166 8.176674 0.054944 17.585626 0.458752 0.107853 
5000.00 1258.15 100.073135 33.134291 0.000000 0.110127 0.000000 6.522883 8.204223 0.183050 17.563337 0.442818 0.107853 
5000.00 1253.15 100.071247 33.124459 0.000000 0.112042 0.000000 6.398448 8.230874 0.306961 17.541230 0.427049 0.107853 
5000.00 1248.15 100.069382 33.114676 0.000000 0.113902 0.000000 6.278647 8.256644 0.426865 17.519315 0.411450 0.107853 
