Title: Gale2013MORB-8

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 whitlockite 
5000.00 1323.15 100.163530 33.055495 0.000000 0.533847 9.992497 5.510504 0.000000 16.351244 0.548396 0.119006 
5000.00 1318.15 100.162420 33.042468 0.000000 0.543159 9.888535 5.557016 0.096929 16.310146 0.527677 0.119006 
5000.00 1313.15 100.160982 33.027027 0.000000 0.555759 9.717340 5.606536 0.272776 16.255974 0.499634 0.119006 
5000.00 1308.15 100.159457 33.011815 0.000000 0.568834 9.557249 5.652777 0.438479 16.203202 0.472269 0.119006 
5000.00 1303.15 100.157844 32.996791 0.000000 0.582393 9.407634 5.695795 0.594586 16.151798 0.445579 0.119006 
5000.00 1298.15 100.156142 32.982005 0.000000 0.596450 9.267905 5.735651 0.741610 16.101822 0.419560 0.119006 
5000.00 1293.15 100.154351 32.967458 0.000000 0.611014 9.137508 5.772409 0.880033 16.053281 0.394206 0.119006 
5000.00 1288.15 100.152472 32.953149 0.000000 0.626095 9.015922 5.806134 1.010306 16.006175 0.369510 0.119006 
5000.00 1283.15 100.150503 32.939079 0.000000 0.641702 8.902649 5.836897 1.132857 15.960504 0.345463 0.119006 
5000.00 1278.15 100.148446 32.925246 0.000000 0.657841 8.797223 5.864769 1.248087 15.916265 0.322055 0.119006 
5000.00 1273.15 100.146300 32.911651 0.000000 0.674520 8.699196 5.889824 1.356379 15.873451 0.299274 0.119006 
5000.00 1268.15 100.144066 32.898290 0.000000 0.691745 8.608144 5.912139 1.458096 15.832053 0.277107 0.119006 
5000.00 1263.15 100.141745 32.885162 0.000000 0.709519 8.523664 5.931794 1.553583 15.792056 0.255540 0.119006 
5000.00 1258.15 100.139338 32.872264 0.000000 0.727846 8.445367 5.948869 1.643171 15.753446 0.234558 0.119006 
5000.00 1253.15 100.136845 32.859592 0.000000 0.746727 8.372887 5.963448 1.727174 15.716204 0.214146 0.119006 
5000.00 1248.15 100.134267 32.847143 0.000000 0.766161 8.305871 5.975617 1.805894 15.680308 0.194286 0.119006 
5000.00 1243.15 100.131607 32.834914 0.000000 0.786149 8.243983 5.985462 1.879619 15.645733 0.174961 0.119006 
5000.00 1238.15 100.128866 32.822898 0.000000 0.806685 8.186903 5.993074 1.948625 15.612454 0.156151 0.119006 
5000.00 1233.15 100.126045 32.811091 0.000000 0.827767 8.134325 5.998540 2.013175 15.580439 0.137839 0.119006 
5000.00 1228.15 100.123147 32.799489 0.000000 0.849386 8.085961 6.001952 2.073520 15.549659 0.120005 0.119006 
5000.00 1223.15 100.120173 32.788085 0.000000 0.871534 8.041533 6.003400 2.129900 15.520080 0.102631 0.119006 
5000.00 1218.15 100.117125 32.776873 0.000000 0.894202 8.000780 6.002977 2.182544 15.491667 0.085697 0.119006 
5000.00 1213.15 100.114007 32.765848 0.000000 0.917377 7.963457 6.000771 2.231667 15.464384 0.069185 0.119006 
5000.00 1208.15 100.110821 32.755003 0.000000 0.941046 7.929329 5.996875 2.277476 15.438194 0.053077 0.119006 
