Title: Gale2013MORB-7

Phase Volumes:
Pressure Temperature mass V liquid_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
5000.00 1573.15 100.142598 36.444025 36.444025 0.000000 0.000000 0.000000 
5000.00 1568.15 100.142748 36.431599 36.431599 0.000000 0.000000 0.000000 
5000.00 1563.15 100.142903 36.419177 36.419177 0.000000 0.000000 0.000000 
5000.00 1558.15 100.143064 36.406758 36.406758 0.000000 0.000000 0.000000 
5000.00 1553.15 100.143230 36.394343 36.394343 0.000000 0.000000 0.000000 
5000.00 1548.15 100.143402 36.381932 36.381932 0.000000 0.000000 0.000000 
5000.00 1543.15 100.143579 36.369525 36.369525 0.000000 0.000000 0.000000 
5000.00 1538.15 100.143731 36.214093 35.294621 0.919472 0.000000 0.000000 
5000.00 1533.15 100.144071 36.051837 34.169718 1.882119 0.000000 0.000000 
5000.00 1528.15 100.144601 35.896575 33.097273 2.799301 0.000000 0.000000 
5000.00 1523.15 100.145310 35.747741 32.072910 3.674831 0.000000 0.000000 
5000.00 1518.15 100.145753 35.568865 30.321026 4.644368 0.000000 0.603471 
5000.00 1513.15 100.145540 35.358839 27.729128 5.694028 0.000000 1.935683 
5000.00 1508.15 100.145179 35.165178 25.307645 6.647002 0.000000 3.210531 
5000.00 1503.15 100.144736 34.986088 23.043895 7.514713 0.000000 4.427479 
5000.00 1498.15 100.144275 34.820455 20.935038 8.305038 0.000000 5.580379 
5000.00 1493.15 100.143850 34.667340 18.979731 9.024897 0.000000 6.662712 
5000.00 1488.15 100.143502 34.525720 17.173285 9.681433 0.000000 7.671002 
5000.00 1483.15 100.143257 34.394477 15.506943 10.281973 0.000000 8.605561 
5000.00 1478.15 100.143147 34.272257 13.963982 10.760391 0.074767 9.473118 
