Title: MORB_Gale2013_0

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 whitlockite 
5000.00 1673.15 99.394566 99.394566 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1663.15 99.394683 99.394683 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1653.15 99.394815 99.394815 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1643.15 99.394964 99.394964 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1633.15 99.395131 99.395131 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1623.15 99.395315 99.395315 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1613.15 99.395518 99.395518 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1603.15 99.395739 99.395739 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1593.15 99.395979 99.395979 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1583.15 99.396239 99.396239 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1573.15 99.396520 99.396520 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 99.396821 99.396821 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 99.397144 99.397144 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 99.397489 99.397489 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 99.397102 95.072783 0.000000 4.324319 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 95.073582 89.681273 0.000000 5.392309 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 89.681944 82.485992 0.000000 5.330209 0.000000 1.865743 0.000000 0.000000 
5000.00 1503.15 82.485530 69.245858 0.000000 4.395479 1.582747 7.261446 0.000000 0.000000 
5000.00 1493.15 69.246013 58.473975 0.000000 3.504764 0.987915 6.279359 0.000000 0.000000 
5000.00 1483.15 58.474690 50.411241 0.000000 2.521194 0.774868 4.767388 0.000000 0.000000 
5000.00 1473.15 50.412328 44.130974 0.000000 1.885603 0.629959 3.765793 0.000000 0.000000 
5000.00 1463.15 44.132316 39.080456 0.000000 1.458919 0.521771 3.071169 0.000000 0.000000 
5000.00 1453.15 39.081975 34.914865 0.000000 1.160827 0.437678 2.568605 0.000000 0.000000 
5000.00 1443.15 34.916504 31.405191 0.000000 0.946826 0.369927 2.194560 0.000000 0.000000 
5000.00 1433.15 31.406908 28.392687 0.000000 0.789935 0.313830 1.910456 0.000000 0.000000 
5000.00 1423.15 28.394444 25.763317 0.000000 0.673077 0.266415 1.691635 0.000000 0.000000 
5000.00 1413.15 25.765081 23.432800 0.000000 0.584994 0.225939 1.521348 0.000000 0.000000 
5000.00 1403.15 23.483959 15.527188 0.000000 3.090243 0.000000 1.562580 3.171504 0.132445 
5000.00 1393.15 15.539455 13.488087 0.000000 0.675704 0.000000 0.786028 0.551577 0.038059 
5000.00 1383.15 13.497962 12.009000 0.000000 0.468059 0.000000 0.616100 0.378937 0.025866 
5000.00 1373.15 12.017441 10.878283 0.000000 0.346330 0.000000 0.497719 0.276404 0.018705 
5000.00 1363.15 10.885788 9.978059 0.000000 0.269525 0.000000 0.411940 0.210731 0.015534 
5000.00 1353.15 9.984909 9.243502 0.000000 0.216940 0.000000 0.346793 0.165367 0.012308 
5000.00 1343.15 9.249873 8.631004 0.000000 0.179768 0.000000 0.296226 0.132887 0.009988 
5000.00 1333.15 8.635708 7.932577 0.154000 0.095463 0.000000 0.345690 0.096396 0.011581 
5000.00 1323.15 7.938186 7.390707 0.104666 0.088078 0.000000 0.270696 0.075200 0.008840 
