Title: Gale2013MORB-8

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 whitlockite 
5000.00 1298.15 100.193152 0.000000 2.476869 30.701590 21.617754 0.692292 40.936086 3.385819 0.382742 
5000.00 1293.15 100.191542 0.000000 2.536431 30.191070 21.771953 1.251294 40.803012 3.255039 0.382742 
5000.00 1288.15 100.189842 0.000000 2.598050 29.711408 21.915654 1.781331 40.673725 3.126934 0.382742 
5000.00 1283.15 100.188051 0.000000 2.661765 29.261026 22.049032 2.283763 40.548237 3.001486 0.382742 
5000.00 1278.15 100.186169 0.000000 2.727613 28.838432 22.172275 2.759876 40.426556 2.878676 0.382742 
5000.00 1273.15 100.184195 0.000000 2.795626 28.442208 22.285579 3.210885 40.308678 2.758478 0.382742 
5000.00 1268.15 100.182131 0.000000 2.865834 28.071005 22.389146 3.637946 40.194596 2.640863 0.382742 
5000.00 1263.15 100.179975 0.000000 2.938260 27.723536 22.483191 4.042159 40.084292 2.525795 0.382742 
5000.00 1258.15 100.177728 0.000000 3.012924 27.398571 22.567937 4.424578 39.977742 2.413233 0.382742 
5000.00 1253.15 100.175391 0.000000 3.089842 27.094933 22.643618 4.786208 39.874916 2.303134 0.382742 
5000.00 1248.15 100.172965 0.000000 3.169020 26.811494 22.710473 5.128017 39.775772 2.195448 0.382742 
5000.00 1243.15 100.170451 0.000000 3.250462 26.547171 22.768756 5.450933 39.680263 2.090123 0.382742 
5000.00 1238.15 100.167848 0.000000 3.334165 26.300929 22.818725 5.755849 39.588337 1.987103 0.382742 
5000.00 1233.15 100.165160 0.000000 3.420117 26.071772 22.860646 6.043625 39.499931 1.886329 0.382742 
5000.00 1228.15 100.162388 0.000000 3.508301 25.858747 22.894794 6.315085 39.414978 1.787741 0.382742 
