Title: Gale2013MORB

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 apatite 
5000.00 1573.15 99.399075 36.775398 36.775398 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 99.399374 36.746535 36.746535 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 99.399695 36.717695 36.717695 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 99.400037 36.688880 36.688880 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 99.400402 36.660089 36.660089 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 99.400791 36.631325 36.631325 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 99.400328 36.363052 34.799906 0.000000 1.563146 0.000000 0.000000 0.000000 0.000000 
5000.00 1503.15 94.354770 34.541379 33.034106 0.000000 1.507273 0.000000 0.000000 0.000000 0.000000 
5000.00 1493.15 89.477986 32.801474 31.456924 0.000000 1.344549 0.000000 0.000000 0.000000 0.000000 
5000.00 1483.15 85.116992 31.246748 30.042578 0.000000 1.204170 0.000000 0.000000 0.000000 0.000000 
5000.00 1473.15 81.201281 29.849512 28.681034 0.000000 1.085216 0.000000 0.083263 0.000000 0.000000 
5000.00 1463.15 77.440625 28.477980 26.313411 0.000000 0.983759 0.000000 1.180810 0.000000 0.000000 
5000.00 1453.15 71.072387 26.132779 23.986834 0.000000 0.494134 0.364076 1.287734 0.000000 0.000000 
5000.00 1443.15 64.816566 23.833360 21.965801 0.000000 0.517977 0.198732 1.150850 0.000000 0.000000 
5000.00 1433.15 59.384508 21.834656 20.252058 0.000000 0.428187 0.174135 0.980277 0.000000 0.000000 
5000.00 1423.15 54.780558 20.138271 18.779151 0.000000 0.357735 0.156770 0.844616 0.000000 0.000000 
5000.00 1413.15 50.824978 18.678966 17.498376 0.000000 0.301307 0.145715 0.733568 0.000000 0.000000 
5000.00 1403.15 47.385578 17.408651 16.372732 0.000000 0.255462 0.141919 0.638538 0.000000 0.000000 
5000.00 1393.15 44.370234 16.278948 14.921371 0.000000 0.225306 0.206474 0.774956 0.150841 0.000000 
5000.00 1383.15 40.190983 14.839136 13.464093 0.000000 0.188859 0.182409 0.797596 0.206179 0.000000 
5000.00 1373.15 35.894973 13.399226 12.296865 0.000000 0.152622 0.123227 0.670997 0.155514 0.000000 
5000.00 1363.15 32.482802 12.244071 11.337566 0.000000 0.126482 0.084943 0.574471 0.120609 0.000000 
5000.00 1353.15 29.700405 11.293488 10.532496 0.000000 0.106714 0.059566 0.498984 0.095728 0.000000 
5000.00 1343.15 27.382423 10.494915 9.845174 0.000000 0.091267 0.042362 0.438656 0.077456 0.000000 
5000.00 1333.15 25.417038 9.811558 9.235075 0.000000 0.082058 0.028881 0.393815 0.064438 0.007290 
5000.00 1323.15 23.684467 9.205060 8.689591 0.000000 0.073832 0.019096 0.355266 0.054079 0.013197 
5000.00 1313.15 22.143689 8.663147 8.210755 0.000000 0.063984 0.013515 0.318747 0.045262 0.010883 
5000.00 1303.15 20.799157 8.187168 7.786092 0.000000 0.055933 0.009613 0.288105 0.038329 0.009096 
5000.00 1293.15 19.613415 7.764827 7.406106 0.000000 0.049272 0.006848 0.262124 0.032788 0.007689 
5000.00 1283.15 18.558090 7.386761 7.063523 0.000000 0.043687 0.004895 0.239802 0.028293 0.006561 
5000.00 1273.15 17.611491 7.045787 6.752637 0.000000 0.038954 0.003522 0.220429 0.024601 0.005644 
5000.00 1263.15 16.756661 6.736264 6.468898 0.000000 0.034909 0.002568 0.203469 0.021533 0.004886 
5000.00 1253.15 15.980117 6.453692 6.208628 0.000000 0.031427 0.001920 0.188505 0.018958 0.004254 
5000.00 1243.15 15.270999 6.194430 5.968822 0.000000 0.028408 0.001498 0.175207 0.016776 0.003719 
5000.00 1233.15 14.620455 5.955501 5.746995 0.000000 0.025774 0.001247 0.163314 0.014909 0.003262 
5000.00 1223.15 14.021195 5.734443 5.541077 0.000000 0.023462 0.001125 0.152614 0.013299 0.002866 
5000.00 1213.15 13.467160 5.529204 5.349327 0.000000 0.021420 0.001104 0.142933 0.011899 0.002521 
5000.00 1203.15 12.953272 5.338056 5.170269 0.000000 0.019605 0.001163 0.134131 0.010672 0.002216 
5000.00 1193.15 12.473913 5.158913 4.982933 0.029038 0.000000 0.000000 0.138738 0.005797 0.002406 
5000.00 1183.15 11.960727 4.972282 4.814796 0.022572 0.000000 0.000000 0.127183 0.005711 0.002020 
5000.00 1173.15 11.505496 4.804662 4.658602 0.020525 0.000000 0.000000 0.118836 0.004928 0.001771 
5000.00 1163.15 11.084793 4.648945 4.513211 0.018678 0.000000 0.000000 0.111248 0.004260 0.001549 
5000.00 1153.15 10.695244 4.503995 4.377629 0.017009 0.000000 0.000000 0.104321 0.003689 0.001347 
5000.00 1143.15 10.333914 4.368821 4.250987 0.015499 0.000000 0.000000 0.097973 0.003200 0.001162 
5000.00 1133.15 9.998236 4.242560 4.132526 0.014130 0.000000 0.000000 0.092132 0.002781 0.000992 
5000.00 1123.15 9.685957 4.124452 4.021574 0.012888 0.000000 0.000000 0.086737 0.002421 0.000832 
