Title: Gale2013MORB-0

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 whitlockite 
5000.00 1573.15 100.148841 36.194322 36.194322 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.148998 36.181650 36.181650 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.149161 36.168982 36.168982 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.149330 36.156318 36.156318 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.149504 36.143659 36.143659 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.149684 36.131003 36.131003 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.149871 36.118351 36.118351 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.150022 36.087713 35.970731 0.000000 0.116982 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.150009 35.919175 34.790458 0.000000 1.128717 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.150250 35.756610 33.657141 0.000000 2.099469 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.150721 35.599850 32.568501 0.000000 3.031349 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.151409 35.448572 31.521573 0.000000 3.926999 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.150782 35.212589 28.567232 0.000000 5.132183 0.000000 0.000000 1.513174 0.000000 
5000.00 1508.15 100.150036 34.994193 25.754080 0.000000 6.227628 0.000000 0.000000 3.012485 0.000000 
5000.00 1503.15 100.149453 34.796634 23.156803 0.000000 6.671677 0.531796 0.000000 4.436356 0.000000 
5000.00 1498.15 100.149163 34.621051 20.857267 0.000000 6.816342 1.241952 0.000000 5.705490 0.000000 
5000.00 1493.15 100.149149 34.464279 18.832742 0.000000 6.949680 1.861571 0.000000 6.820286 0.000000 
5000.00 1488.15 100.149411 34.322845 17.035349 0.000000 7.076936 2.405612 0.000000 7.804949 0.000000 
5000.00 1483.15 100.149951 34.194091 15.428588 0.000000 7.201040 2.886758 0.000000 8.677706 0.000000 
5000.00 1478.15 100.150779 34.075937 13.984131 0.000000 7.323483 3.315894 0.000000 9.452429 0.000000 
5000.00 1473.15 100.151905 33.966702 12.679271 0.000000 7.444862 3.702549 0.000000 10.140019 0.000000 
5000.00 1468.15 100.153345 33.865052 11.496457 0.000000 7.565332 4.054889 0.000000 10.748374 0.000000 
5000.00 1463.15 100.155114 33.769903 10.421769 0.000000 7.684752 4.380088 0.000000 11.283294 0.000000 
5000.00 1458.15 100.157227 33.680363 9.443908 0.000000 7.802771 4.684485 0.000000 11.749199 0.000000 
5000.00 1453.15 100.159696 33.595719 8.553554 0.000000 7.918873 4.973497 0.000000 12.149795 0.000000 
5000.00 1448.15 100.162516 33.515451 7.743012 0.000000 8.032439 5.251248 0.000000 12.488752 0.000000 
5000.00 1443.15 100.165664 33.439275 7.006193 0.000000 8.142850 5.519963 0.000000 12.770269 0.000000 
5000.00 1438.15 100.169097 33.366847 6.336318 0.000000 8.250112 5.780787 0.000000 12.998959 0.000672 
5000.00 1433.15 100.169277 33.303237 5.335939 0.301619 8.400255 5.692630 0.000000 13.554799 0.017994 
5000.00 1428.15 100.169475 33.238144 4.330188 0.632627 8.547508 5.611357 0.000000 14.080352 0.036113 
5000.00 1423.15 100.169915 33.170735 3.341214 0.976567 8.695971 5.554394 0.000000 14.547923 0.054666 
5000.00 1418.15 100.170021 33.100721 2.363538 1.343199 8.535571 5.476074 0.347738 14.961058 0.073543 
5000.00 1413.15 100.169800 33.033269 1.436634 1.734452 8.188054 5.340457 0.919461 15.322998 0.091214 
5000.00 1408.15 100.169437 32.972437 0.579805 2.153547 7.944554 5.139665 1.400481 15.647579 0.106806 
