,experiment,step,pressure,temperature,mass,F,phi,entropy,enthalpy,volume,dVdP*10^6,dVdT*10^6,Cp,logfO2(absolute),logfO2-QFM,rhol,rhos,viscosity,aH2O,chisqr,mass%,volume%
"(5000, 1080)",363f3d0a0b,22,5000.0,1080.0,9.984909,0.9257472054406436,0.93614,25.056014,-115342.988611,3.682722,-21.855723,212.414579,13.082904,-9.773,0.0,2.681186,3.152517,4.022,0.0,0.0,0.10045531775156716,0.10148344000324507
"(5000, 1070)",363f3d0a0b,23,5000.0,1070.0,9.249873,0.9330943499730016,0.9426180000000001,23.137394,-107573.655879,3.435769,-20.749932,194.294615,12.096055999999999,-9.907,0.0,2.665028,3.139041,4.175,0.0,0.0,0.09306033048239515,0.094678245378421
"(5000, 1060)",363f3d0a0b,24,5000.0,1060.0,8.635708000000001,0.9185786989702724,0.931032,21.480221,-101131.596219,3.2262020000000002,-19.582123,176.60925600000002,11.231142,-10.044,0.0,2.640937,3.1600759999999997,4.41,0.0,0.0,0.08688139182337572,0.08890328325226537
"(5000, 1050)",363f3d0a0b,25,5000.0,1050.0,7.938186,0.931032134142108,0.9419700000000001,19.692248,-93956.376764,2.994103,-18.579223000000002,160.682865,10.319396000000001,-10.183,0.0,2.620488,3.151004,4.618,0.0,0.0,0.07986382219417743,0.08250741494037184
"(5000, 1300)",9738d19744,0,5000.0,1300.0,99.399075,1.0,1.0,278.54429,-1179858.946275,36.775397999999996,-221.295896,2911.439964,149.410719,-7.247000000000001,0.0,2.7028689999999997,0.0,1.8659999999999999,0.022548699999999998,0.0,1.0,1.0
"(5000, 1290)",9738d19744,1,5000.0,1290.0,99.399374,1.0,1.0,277.592169,-1181357.300154,36.746534999999994,-221.088029,2910.715353,149.40868700000001,-7.346,0.0,2.705,0.0,1.905,0.022537099999999997,0.0,1.0000030080762823,0.9992151546531188
"(5000, 1280)",9738d19744,2,5000.0,1280.0,99.399695,1.0,1.0,276.633982,-1182855.954951,36.717695,-220.88165899999998,2909.966412,149.406792,-7.447,0.0,2.7071330000000002,0.0,1.944,0.0225267,0.0,1.0000062374825922,0.9984309347243503
"(5000, 1270)",9738d19744,3,5000.0,1270.0,99.400037,1.0,1.0,275.66965,-1184354.923381,36.68888,-220.676824,2909.193405,149.405038,-7.5489999999999995,0.0,2.709269,0.0,1.984,0.022517500000000003,0.0,1.0000096781584737,0.9976473945978777
"(5000, 1260)",9738d19744,4,5000.0,1260.0,99.400402,1.0,1.0,274.69909,-1185854.218688,36.660089,-220.47356299999998,2908.396607,149.403427,-7.652,0.0,2.711406,0.0,2.024,0.022509499999999998,0.0,1.0000133502248387,0.9968645070816093
"(5000, 1250)",9738d19744,5,5000.0,1250.0,99.400791,1.0,1.0,273.722219,-1187353.85467,36.631325,-220.271919,2907.576305,149.401964,-7.757000000000001,0.0,2.713546,0.0,2.065,0.022502900000000003,0.0,1.0000172637421425,0.9960823537518207
"(5000, 1240)",9738d19744,6,5000.0,1240.0,99.400328,0.9492316364720857,0.9570129999999999,271.31155,-1191004.612161,36.363052,-214.72152400000002,2854.242502,147.49162900000002,-7.8629999999999995,0.0,2.7113270000000003,3.2283560000000002,2.142,0.024140900000000003,0.0,1.0000126057511098,0.9887874496966697
