Title: Gale2013MORB-1

Phase Masses:
Pressure Temperature mass liquid_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
5000.00 1573.15 100.144951 100.144951 0.000000 0.000000 0.000000 
5000.00 1568.15 100.145103 100.145103 0.000000 0.000000 0.000000 
5000.00 1563.15 100.145261 100.145261 0.000000 0.000000 0.000000 
5000.00 1558.15 100.145425 100.145425 0.000000 0.000000 0.000000 
5000.00 1553.15 100.145594 100.145594 0.000000 0.000000 0.000000 
5000.00 1548.15 100.145769 100.145769 0.000000 0.000000 0.000000 
5000.00 1543.15 100.145949 100.145949 0.000000 0.000000 0.000000 
5000.00 1538.15 100.146136 100.146136 0.000000 0.000000 0.000000 
5000.00 1533.15 100.145914 97.324072 2.821842 0.000000 0.000000 
5000.00 1528.15 100.145860 94.525076 5.620784 0.000000 0.000000 
5000.00 1523.15 100.145980 91.849327 8.296653 0.000000 0.000000 
5000.00 1518.15 100.146264 89.286770 10.859494 0.000000 0.000000 
5000.00 1513.15 100.146613 86.493875 13.389341 0.000000 0.263397 
5000.00 1508.15 100.145764 79.628765 16.639882 0.000000 3.877116 
5000.00 1503.15 100.144724 73.167983 19.621376 0.000000 7.355366 
5000.00 1498.15 100.143561 67.113071 22.356041 0.000000 10.674448 
5000.00 1493.15 100.142340 61.476385 24.862112 0.000000 13.803843 
5000.00 1488.15 100.141113 56.257652 27.160569 0.000000 16.722893 
5000.00 1483.15 100.139912 51.438586 29.275321 0.000000 19.426005 
5000.00 1478.15 100.138758 46.982198 31.054208 0.178101 21.924251 
5000.00 1473.15 100.137723 42.801718 30.882527 2.188503 24.264975 
5000.00 1468.15 100.136754 38.934560 30.752835 4.041112 26.408247 
5000.00 1463.15 100.135838 35.341706 30.663403 5.755220 28.375508 
5000.00 1458.15 100.134956 31.992413 30.609747 7.348481 30.184315 
5000.00 1453.15 100.134088 28.863028 30.585789 8.836224 31.849047 
