Title: MORB_Gale2013-1

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1423.15 24.145777 62.258982 -286125.474096 8.843325 33.247901 3.547 56.1449 4.73902 12.1435 1.53066 9.60998 0.742205 2.35745 9.13036 2.50467 0.394722 0.702467 30.4
5000.00 1418.15 22.666783 58.298478 -269217.616310 8.309087 31.177476 3.613 56.4014 4.94094 12.0314 1.49771 9.35602 0.790634 2.25759 9.14791 2.41569 0.412416 0.748302 30.1
5000.00 1413.15 21.332575 54.729267 -254027.414376 7.828452 29.312557 3.683 56.6786 5.13457 11.9298 1.46082 9.07675 0.840083 2.16312 9.16358 2.32735 0.430186 0.795104 29.8
5000.00 1408.15 20.131313 51.518152 -240401.835034 7.396862 27.635437 3.756 56.9759 5.3175 11.8378 1.42065 8.77754 0.890211 2.07366 9.17558 2.24066 0.447944 0.842548 29.6
5000.00 1403.15 19.050961 48.631737 -228189.116510 7.009732 26.128407 3.832 57.2925 5.48756 11.754 1.37783 8.46366 0.940694 1.98886 9.18243 2.15648 0.465608 0.890328 29.5
5000.00 1398.15 18.050923 45.967080 -216914.952961 6.652817 24.726399 3.921 57.6874 5.64655 11.6898 1.3313 8.14237 0.992809 1.90533 9.14131 2.0781 0.483711 0.90125 29.4
5000.00 1393.15 17.154789 43.579200 -206840.240045 6.333806 23.470717 4.013 58.098 5.78824 11.6309 1.2835 7.81519 1.04467 1.82625 9.09468 2.00321 0.501542 0.913866 29.4
5000.00 1388.15 16.349262 41.432472 -197806.502461 6.047804 22.341928 4.107 58.526 5.91169 11.5766 1.23489 7.48618 1.09614 1.75115 9.0399 1.93224 0.519076 0.926108 29.4
5000.00 1383.15 15.623723 39.498240 -189687.705780 5.790878 21.324903 4.204 58.9702 6.01619 11.5261 1.18596 7.1586 1.14705 1.67976 8.97679 1.86527 0.536268 0.937876 29.5
5000.00 1378.15 14.765888 37.242449 -180222.762797 5.495551 20.118650 4.353 59.8035 5.90164 11.4985 1.11904 6.72171 1.20282 1.59466 8.83868 1.82195 0.558343 0.939187 29.7
5000.00 1373.15 13.911457 35.005338 -170803.199721 5.203547 18.916155 4.525 60.8094 5.67473 11.4752 1.0466 6.25674 1.25796 1.50824 8.66488 1.7887 0.582165 0.935358 30.1
5000.00 1368.15 13.174777 33.072500 -162635.600569 4.950504 17.879096 4.691 61.7505 5.46645 11.4447 0.980498 5.83829 1.30867 1.43075 8.49442 1.75298 0.604375 0.928404 30.4
5000.00 1363.15 12.534037 31.387584 -155495.192521 4.729382 16.977252 4.850 62.6295 5.27367 11.4077 0.920122 5.45977 1.35515 1.3608 8.33057 1.71544 0.625094 0.922158 30.8
5000.00 1358.15 11.970781 29.903173 -149188.680416 4.534172 16.184552 5.003 63.4553 5.09357 11.3658 0.864769 5.11561 1.39774 1.29714 8.1723 1.67678 0.644495 0.916553 31.1
5000.00 1353.15 11.471038 28.583332 -143568.962328 4.360297 15.481273 5.152 64.2347 4.9241 11.3201 0.813848 4.80125 1.43675 1.23877 8.01876 1.6375 0.662725 0.911457 31.5
5000.00 1348.15 11.024081 27.400430 -138522.558130 4.204228 14.852281 5.296 64.9734 4.76372 11.2717 0.766862 4.51296 1.47245 1.18492 7.86936 1.59795 0.679907 0.906777 31.9
5000.00 1343.15 10.621526 26.332853 -133960.436108 4.063192 14.285762 5.437 65.6761 4.61123 11.221 0.723391 4.24762 1.50506 1.135 7.72366 1.55839 0.696146 0.902449 32.3
5000.00 1338.15 10.256724 25.363432 -129811.694712 3.934983 13.772348 5.575 66.3463 4.46574 11.1687 0.683075 4.00263 1.53479 1.08851 7.58132 1.51901 0.711529 0.898429 32.6
5000.00 1333.15 9.924328 24.478348 -126019.114278 3.817819 13.304511 5.711 66.9873 4.3265 11.1151 0.645604 3.77579 1.56183 1.04505 7.44211 1.47994 0.726134 0.894686 33.0
5000.00 1328.15 9.619985 23.666341 -122535.963152 3.710247 12.876125 5.844 67.6016 4.19293 11.0606 0.610707 3.5652 1.58636 1.00428 7.30582 1.44127 0.740027 0.891198 33.4
5000.00 1323.15 9.340113 22.918137 -119323.663603 3.611064 12.482149 5.975 68.1916 4.06454 11.0054 0.578149 3.36926 1.60851 0.965938 7.17231 1.40309 0.753266 0.88795 33.8
5000.00 1318.15 9.081738 22.226020 -116350.058584 3.519272 12.118398 6.104 68.7591 3.94093 10.9497 0.547724 3.18656 1.62842 0.929776 7.04147 1.36545 0.765902 0.884934 34.2
5000.00 1313.15 8.842363 21.583517 -113588.105864 3.434027 11.781360 6.232 69.3058 3.82175 10.8937 0.519249 3.01588 1.64624 0.895594 6.91319 1.32838 0.777981 0.882144 34.6
5000.00 1308.15 7.648886 18.624043 -98363.463174 2.972770 10.179520 6.287 69.5226 3.72692 10.9038 0.496136 2.87729 1.81129 0.868352 6.79545 1.27375 0.833642 0.890705 35.0
5000.00 1303.15 5.527712 13.428630 -70979.754750 2.145003 7.352218 6.218 69.2183 3.66606 11.0108 0.48051 2.78284 2.22981 0.851326 6.69796 1.19492 0.948672 0.91879 35.3
5000.00 1298.15 4.012715 9.725537 -51438.395505 1.554333 5.334291 6.140 68.8895 3.6063 11.1056 0.466537 2.69797 2.66861 0.836301 6.61076 1.12187 1.04716 0.949353 35.6
5000.00 1293.15 2.879576 6.962600 -36841.820106 1.113153 3.826107 6.051 68.5327 3.54857 11.1897 0.454129 2.62227 3.12906 0.823239 6.53465 1.05346 1.1294 0.982804 35.9
5000.00 1288.15 2.004307 4.834515 -25588.123650 0.773037 2.662016 5.953 68.1443 3.49369 11.2641 0.443215 2.55532 3.61288 0.812116 6.47024 0.988887 1.19571 1.01963 36.2
5000.00 1283.15 1.312989 3.159173 -16722.024434 0.505113 1.743235 5.845 67.7201 3.44252 11.3293 0.433735 2.49674 4.12208 0.802922 6.41812 0.92753 1.24649 1.0604 36.4
5000.00 1148.15 0.391063 0.734006 -4823.188130 0.134198 0.716700 -2.550 1.75128 0.248994 0.00717375 0.0136405 0.00814932 2.1116 1.05294 51.4274 6.75346e-006 0.00569404 43.3731 99.6
5000.00 1143.15 0.390601 0.729824 -4822.392983 0.134066 0.716056 -2.553 1.7163 0.237962 0.00695143 0.0133095 0.00786504 2.06201 1.03847 51.4872 6.45438e-006 0.00556324 43.4244 99.6
5000.00 1138.15 0.390158 0.725678 -4821.783533 0.133939 0.715439 -2.556 1.68271 0.227506 0.00673773 0.0129887 0.00759194 2.01402 1.02473 51.5446 6.16508e-006 0.0054341 43.4737 99.6
5000.00 1133.15 0.389742 0.721582 -4821.435522 0.133820 0.714861 -2.559 1.65125 0.217312 0.00653409 0.012668 0.00732426 1.96844 1.01229 51.5987 5.85477e-006 0.00530676 43.5201 99.6
5000.00 1128.15 0.389398 0.717638 -4821.841043 0.133722 0.714394 -2.561 1.62657 0.205752 0.00635228 0.0122904 0.00703195 1.93029 1.0045 51.6434 5.35537e-006 0.0051827 43.5586 99.6
5000.00 1123.15 0.389064 0.713708 -4822.340728 0.133628 0.713941 -2.563 1.60254 0.194786 0.00617727 0.011931 0.00675475 1.89298 0.996922 51.6869 4.89646e-006 0.00506213 43.596 99.6
5000.00 1118.15 0.388740 0.709789 -4822.930792 0.133536 0.713502 -2.565 1.57912 0.184384 0.00600868 0.0115888 0.00649174 1.8565 0.989552 51.7291 4.47484e-006 0.00494488 43.6323 99.6
5000.00 1113.15 0.388426 0.705882 -4823.607704 0.133447 0.713076 -2.567 1.5563 0.174514 0.00584614 0.0112629 0.00624205 1.8208 0.982386 51.7702 4.08761e-006 0.0048308 43.6676 99.6
5000.00 1108.15 0.388120 0.701985 -4824.368158 0.133361 0.712662 -2.568 1.53405 0.16515 0.00568933 0.0109526 0.0060049 1.78586 0.975421 51.8102 3.73206e-006 0.00471977 43.7019 99.7
5000.00 1103.15 0.387824 0.698096 -4825.209063 0.133277 0.712260 -2.570 1.51237 0.156264 0.00553793 0.0106569 0.00577955 1.75166 0.968656 51.8491 3.4057e-006 0.00461164 43.7353 99.7
5000.00 1098.15 0.387536 0.694215 -4826.127524 0.133195 0.711870 -2.572 1.49123 0.147831 0.00539166 0.0103751 0.00556533 1.71816 0.962089 51.887 3.10625e-006 0.0045063 43.7678 99.7
5000.00 1093.15 0.387256 0.690341 -4827.120824 0.133116 0.711492 -2.574 1.47061 0.13983 0.00525025 0.0101066 0.00536159 1.68536 0.955718 51.9239 2.83159e-006 0.00440364 43.7994 99.7
5000.00 1088.15 0.386984 0.686472 -4828.186418 0.133039 0.711124 -2.575 1.45051 0.132236 0.00511346 0.00985077 0.00516776 1.65322 0.949541 51.9598 2.57976e-006 0.00430355 43.8302 99.7
5000.00 1083.15 0.386720 0.682609 -4829.321918 0.132965 0.710767 -2.577 1.43091 0.125031 0.00498106 0.00960694 0.00498327 1.62173 0.943557 51.9948 2.34896e-006 0.00420592 43.8602 99.7
5000.00 1078.15 0.386463 0.678750 -4830.525080 0.132892 0.710420 -2.578 1.41179 0.118194 0.00485284 0.00937459 0.00480763 1.59086 0.937765 52.0289 2.13753e-006 0.00411067 43.8894 99.7
5000.00 1073.15 0.386213 0.674895 -4831.793798 0.132821 0.710083 -2.580 1.39315 0.111706 0.00472859 0.0091532 0.00464035 1.5606 0.932163 52.062 1.94393e-006 0.00401771 43.9178 99.7
5000.00 1068.15 0.385969 0.671042 -4833.126093 0.132753 0.709756 -2.581 1.37497 0.10555 0.00460814 0.0089423 0.00448099 1.53093 0.92675 52.0944 1.76674e-006 0.00392695 43.9455 99.7
5000.00 1063.15 0.385733 0.667191 -4834.520107 0.132686 0.709437 -2.582 1.35723 0.0997106 0.0044913 0.00874142 0.00432913 1.50183 0.921527 52.1259 1.60466e-006 0.00383832 43.9724 99.7
5000.00 1058.15 0.385503 0.663342 -4835.974092 0.132621 0.709128 -2.584 1.33994 0.0941707 0.00437791 0.00855016 0.00418438 1.47329 0.916492 52.1566 1.45646e-006 0.00375173 43.9987 99.7
