Title: MORB_Gale2013-2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 whitlockite 
5000.00 1573.15 100.150679 36.371938 36.371938 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.150837 36.359448 36.359448 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.151002 36.346962 36.346962 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.151172 36.334480 36.334480 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.151348 36.322002 36.322002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.151530 36.309528 36.309528 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.151717 36.297059 36.297059 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.151912 36.284593 36.284593 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.152137 36.249431 36.103841 0.000000 0.145590 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.152631 36.088556 34.991431 0.000000 1.097125 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.153330 35.934361 33.928946 0.000000 2.005415 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.153611 35.727988 31.647680 0.000000 3.081487 0.000000 0.000000 0.998821 0.000000 0.000000 
5000.00 1513.15 100.153492 35.516595 29.057649 0.000000 4.134239 0.000000 0.000000 2.324706 0.000000 0.000000 
5000.00 1508.15 100.153199 35.321274 26.631154 0.000000 5.091871 0.000000 0.000000 3.598249 0.000000 0.000000 
5000.00 1503.15 100.152797 35.139992 24.350392 0.000000 5.966938 0.000000 0.000000 4.822662 0.000000 0.000000 
5000.00 1498.15 100.152357 34.971735 22.212910 0.000000 6.766657 0.000000 0.000000 5.992168 0.000000 0.000000 
5000.00 1493.15 100.151946 34.815883 20.222237 0.000000 7.496171 0.000000 0.000000 7.097475 0.000000 0.000000 
5000.00 1488.15 100.151617 34.671744 18.379595 0.000000 8.160868 0.000000 0.000000 8.131281 0.000000 0.000000 
5000.00 1483.15 100.151408 34.538414 16.680685 0.000000 8.766959 0.000000 0.000000 9.090770 0.000000 0.000000 
