Title: Gale2013MORB-9

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
5000.00 1573.15 100.142588 36.594627 36.594627 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.142738 36.582346 36.582346 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.142894 36.570068 36.570068 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.143054 36.557795 36.557795 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.143221 36.545525 36.545525 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.143393 36.533259 36.533259 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.143570 36.520997 36.520997 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.143754 36.508739 36.508739 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.143957 36.437594 36.059425 0.000000 0.378169 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.144319 36.282953 34.990877 0.000000 1.292076 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.144815 36.128157 33.835480 0.000000 2.189153 0.000000 0.000000 0.103523 0.000000 0.000000 0.000000 
5000.00 1518.15 100.144599 35.898968 31.026453 0.000000 3.341341 0.000000 0.000000 1.531174 0.000000 0.000000 0.000000 
5000.00 1513.15 100.144137 35.688800 28.412581 0.000000 4.381175 0.000000 0.000000 2.895045 0.000000 0.000000 0.000000 
5000.00 1508.15 100.143481 35.494500 25.960835 0.000000 5.327338 0.000000 0.000000 4.206327 0.000000 0.000000 0.000000 
5000.00 1503.15 100.142696 35.314372 23.659450 0.000000 6.190832 0.000000 0.000000 5.464090 0.000000 0.000000 0.000000 
5000.00 1498.15 100.141849 35.147536 21.509412 0.000000 6.978460 0.000000 0.000000 6.659664 0.000000 0.000000 0.000000 
5000.00 1493.15 100.141004 34.993271 19.513655 0.000000 7.696170 0.000000 0.000000 7.783446 0.000000 0.000000 0.000000 
5000.00 1488.15 100.140208 34.850659 17.670102 0.000000 8.350683 0.000000 0.000000 8.829874 0.000000 0.000000 0.000000 
5000.00 1483.15 100.139488 34.718586 15.970683 0.000000 8.949377 0.000000 0.000000 9.798526 0.000000 0.000000 0.000000 
5000.00 1478.15 100.138862 34.595838 14.402474 0.000000 9.479639 0.020154 0.000000 10.693570 0.000000 0.000000 0.000000 
5000.00 1473.15 100.138443 34.480378 12.928513 0.000000 9.421711 0.594104 0.000000 11.536050 0.000000 0.000000 0.000000 
5000.00 1468.15 100.138144 34.372140 11.565366 0.000000 9.374930 1.121513 0.000000 12.310331 0.000000 0.000000 0.000000 
5000.00 1463.15 100.137954 34.270158 10.298017 0.000000 9.338994 1.608014 0.000000 13.025134 0.000000 0.000000 0.000000 
5000.00 1458.15 100.137857 34.173674 9.114058 0.000000 9.312950 2.058631 0.000000 13.688036 0.000000 0.000000 0.000000 
5000.00 1453.15 100.137833 34.082121 8.003554 0.000000 9.295553 2.477623 0.000000 14.305391 0.000000 0.000000 0.000000 
5000.00 1448.15 100.137863 33.995146 6.960246 0.000000 9.285565 2.868436 0.000000 14.880900 0.000000 0.000000 0.000000 
5000.00 1443.15 100.137963 33.912778 5.986676 0.000000 9.282117 3.233842 0.000000 15.410143 0.000000 0.000000 0.000000 
5000.00 1438.15 100.138246 33.833862 5.088682 0.000000 9.286134 3.584642 0.000000 15.869893 0.000000 0.000000 0.004511 
5000.00 1433.15 100.138986 33.759443 4.303260 0.000000 9.297234 3.925729 0.000000 16.219309 0.000000 0.000000 0.013911 
5000.00 1428.15 100.140317 33.691950 3.656591 0.000000 9.312615 4.250171 0.000000 16.450026 0.000000 0.000000 0.022548 
5000.00 1423.15 100.142094 33.630097 3.117775 0.000000 9.330536 4.560355 0.000000 16.590743 0.000000 0.000000 0.030689 
5000.00 1418.15 100.144092 33.572887 2.656611 0.000000 9.349594 4.855797 0.000000 16.672470 0.000000 0.000000 0.038416 
