Title: Gale2013MORB-9

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 Mg#
5000.00 1573.15 100.142588 275.669671 -1189573.639706 36.594627 149.520859 2.064 50.4057 1.39578 15.8383 1.42118 8.80936 0.172183 6.91272 11.8728 2.87786 0.136054 0.158106 58.3
5000.00 1568.15 100.142738 275.194012 -1190323.378389 36.582346 149.521628 2.085 50.4056 1.39578 15.8382 1.42267 8.808 0.172183 6.91271 11.8728 2.87786 0.136054 0.158106 58.3
5000.00 1563.15 100.142894 274.716840 -1191073.201372 36.570068 149.522425 2.105 50.4056 1.39577 15.8382 1.42422 8.80659 0.172182 6.9127 11.8728 2.87785 0.136054 0.158106 58.3
5000.00 1558.15 100.143054 274.238145 -1191823.110192 36.557795 149.523250 2.125 50.4055 1.39577 15.8382 1.42582 8.80514 0.172182 6.91269 11.8727 2.87785 0.136053 0.158105 58.3
5000.00 1553.15 100.143221 273.757917 -1192573.106419 36.545525 149.524103 2.146 50.4054 1.39577 15.8382 1.42747 8.80363 0.172182 6.91268 11.8727 2.87784 0.136053 0.158105 58.3
5000.00 1548.15 100.143393 273.276145 -1193323.191655 36.533259 149.524986 2.167 50.4053 1.39577 15.8381 1.42918 8.80208 0.172181 6.91266 11.8727 2.87784 0.136053 0.158105 58.3
5000.00 1543.15 100.143570 272.792819 -1194073.367536 36.520997 149.525897 2.188 50.4052 1.39577 15.8381 1.43095 8.80047 0.172181 6.91265 11.8727 2.87783 0.136053 0.158105 58.3
5000.00 1538.15 100.143754 272.307930 -1194823.635733 36.508739 149.526838 2.209 50.4051 1.39576 15.8381 1.43278 8.79881 0.172181 6.91264 11.8727 2.87783 0.136053 0.158104 58.3
5000.00 1533.15 98.923490 268.529916 -1180716.400437 36.059425 147.604805 2.240 50.3981 1.40869 15.967 1.43567 8.8342 0.174305 6.79579 11.7785 2.90989 0.137731 0.160055 57.8
5000.00 1528.15 95.968788 260.094226 -1145545.410612 34.990877 142.958017 2.288 50.3899 1.44002 16.2831 1.43917 8.91882 0.179671 6.51042 11.5416 2.99035 0.141971 0.164982 56.5
5000.00 1523.15 92.784336 251.061360 -1107371.943318 33.835480 137.980413 2.335 50.3946 1.47514 16.5553 1.44525 9.02231 0.185838 6.2427 11.2881 3.07331 0.146769 0.170645 55.2
5000.00 1518.15 85.233945 230.223989 -1012665.046718 31.026453 126.398381 2.351 50.3796 1.58451 16.362 1.50308 9.50263 0.2023 6.0826 10.861 3.17798 0.158485 0.185761 53.3
5000.00 1513.15 78.213588 210.865963 -924815.713403 28.412581 115.659298 2.362 50.3268 1.70318 16.1515 1.56272 9.9952 0.220458 5.91589 10.4799 3.27092 0.171002 0.202435 51.3
5000.00 1508.15 71.632410 192.740122 -842687.667192 25.960835 105.622721 2.368 50.2318 1.83343 15.9206 1.62477 10.5027 0.240713 5.74256 10.1465 3.35149 0.184444 0.221033 49.4
5000.00 1503.15 65.456945 175.755037 -765863.733047 23.659450 96.236098 2.369 50.0907 1.97691 15.6682 1.68944 11.0261 0.263423 5.56505 9.86087 3.41858 0.198856 0.241887 47.4
5000.00 1498.15 59.688301 159.912321 -694352.555530 21.509412 87.498967 2.363 49.9005 2.13444 15.3958 1.75651 11.5654 0.288881 5.38782 9.62036 3.47082 0.214179 0.265264 45.4
5000.00 1493.15 54.333109 145.227663 -628222.968705 19.513655 79.418338 2.351 49.6588 2.30633 15.1067 1.82552 12.1203 0.317354 5.21597 9.42053 3.50679 0.230282 0.291409 43.4
5000.00 1488.15 49.384806 131.680406 -567372.751257 17.670102 71.980527 2.332 49.363 2.49292 14.8044 1.89603 12.6912 0.349153 5.05386 9.25662 3.52525 0.246995 0.320608 41.5
5000.00 1483.15 44.820955 119.206753 -511499.362450 15.970683 65.147645 2.305 49.0095 2.69506 14.4912 1.96774 13.2798 0.384705 4.90474 9.12491 3.52498 0.264134 0.353253 39.7
5000.00 1478.15 40.606190 107.709890 -460138.171825 14.402474 57.454012 2.270 48.5932 2.91439 14.1672 2.04068 13.8894 0.424636 4.77049 9.02383 3.50475 0.281505 0.38992 38.0
5000.00 1473.15 36.637110 96.911208 -412026.975279 12.928513 51.720618 2.227 48.1102 3.15207 13.8177 2.11696 14.5266 0.470639 4.643 8.96606 3.46546 0.299203 0.432162 36.3
5000.00 1468.15 32.961003 86.930333 -367707.639124 11.565366 46.434409 2.173 47.5494 3.41051 13.4567 2.19467 15.1958 0.523128 4.53512 8.93524 3.40255 0.316538 0.48036 34.7
5000.00 1463.15 29.537359 77.655716 -326659.777639 10.298017 41.533106 2.108 46.8958 3.69461 13.0782 2.27464 15.9076 0.583764 4.44834 8.93503 3.31292 0.333048 0.536038 33.3
5000.00 1458.15 26.332876 68.995444 -288453.012449 9.114058 36.965504 2.029 46.1282 4.01136 12.6732 2.358 16.6771 0.654803 4.38523 8.97068 3.19215 0.348014 0.60127 31.9
5000.00 1453.15 23.321003 60.875902 -252740.929317 8.003554 32.690577 1.932 45.2164 4.37077 12.2293 2.4463 17.5254 0.739369 4.34974 9.04943 3.03412 0.360317 0.678923 30.7
5000.00 1448.15 20.484784 53.249466 -219298.852794 6.960246 28.681204 1.811 44.1217 4.7865 11.7292 2.54136 18.4795 0.841739 4.34719 9.18006 2.83152 0.368258 0.772923 29.5
5000.00 1443.15 17.829292 46.128332 -188188.139971 5.986676 24.941154 1.665 42.8121 5.27194 11.1578 2.644 19.5591 0.967107 4.38163 9.36849 2.58022 0.369633 0.888042 28.5
5000.00 1438.15 15.359673 39.534432 -159570.288834 5.088682 21.465661 1.502 41.3592 5.82753 10.5425 2.74805 20.7505 1.1226 4.43973 9.55996 2.29816 0.36364 0.988119 27.6
5000.00 1433.15 13.164878 33.710491 -134621.301248 4.303260 18.374484 1.346 39.9549 6.4022 9.96382 2.83918 21.9155 1.30976 4.49066 9.69229 2.02987 0.352874 1.04904 26.8
5000.00 1428.15 11.319111 28.845128 -114174.483556 3.656591 15.778440 1.214 38.7354 6.92391 9.47865 2.9093 22.8758 1.52334 4.51499 9.78109 1.80678 0.341624 1.10915 26.0
5000.00 1423.15 9.745567 24.728064 -97216.839207 3.117775 13.568275 1.108 37.7368 7.37009 9.10103 2.95841 23.6003 1.7693 4.50811 9.82558 1.63107 0.332475 1.16677 25.4
5000.00 1418.15 8.370901 21.157140 -82761.675094 2.656611 11.640609 1.022 36.919 7.74463 8.81297 2.99035 24.1176 2.05985 4.47702 9.83906 1.48981 0.325583 1.22416 24.9
5000.00 1413.15 7.158084 18.026780 -70261.818494 2.256526 9.943037 0.951 36.2349 8.05589 8.59497 3.00833 24.4579 2.40886 4.42977 9.83363 1.37092 0.320298 1.28455 24.4
5000.00 1408.15 6.097809 15.304908 -59504.911307 1.911350 8.461801 0.888 35.6474 8.3112 8.43274 3.01446 24.6424 2.82771 4.37303 9.81784 1.26621 0.315897 1.35108 24.0
5000.00 1403.15 5.191255 12.987792 -50418.261614 1.619192 7.197637 0.830 35.1281 8.51758 8.31584 3.01041 24.6882 3.32152 4.31181 9.79752 1.17075 0.311813 1.42641 23.7
5000.00 1398.15 4.435532 11.062734 -42913.159212 1.377509 6.145590 0.775 34.656 8.68246 8.23554 2.9978 24.6126 3.88743 4.24941 9.77667 1.0819 0.307691 1.51252 23.5
5000.00 1393.15 3.107628 7.724982 -30110.196801 0.962798 4.304840 0.748 34.272 9.36928 8.14195 2.96101 23.9862 4.34191 4.06765 9.99932 0.91188 0.318059 1.63072 23.2
5000.00 1388.15 1.677809 4.168223 -16923.257683 0.529503 2.336329 0.884 35.4277 10.7389 8.79591 2.58069 18.802 6.0804 3.597 11.0297 0.54992 0.386518 2.01119 25.4
5000.00 1383.15 1.145454 2.838206 -11615.765624 0.361601 1.596170 0.884 35.2249 11.4953 8.76594 2.51476 17.889 6.40708 3.4319 11.2614 0.459772 0.402232 2.14762 25.5
5000.00 1208.15 0.363720 0.716752 -4479.542829 0.125268 0.670411 -2.554 1.81985 0.154654 0.0190058 0.0320586 0.0208795 1.07549 1.70863 51.6223 9.27679e-005 0.015906 43.5311 99.3
5000.00 1203.15 0.363444 0.713308 -4480.077283 0.125184 0.670002 -2.555 1.7963 0.147258 0.0185939 0.0311511 0.0201186 1.05132 1.69514 51.6602 8.61043e-005 0.0156095 43.5642 99.3
5000.00 1198.15 0.363176 0.709875 -4480.687018 0.125103 0.669604 -2.557 1.77334 0.14021 0.018193 0.0302803 0.0193914 1.0278 1.68191 51.6971 7.98824e-005 0.0153185 43.5964 99.4
5000.00 1193.15 0.362916 0.706452 -4481.369490 0.125024 0.669218 -2.559 1.75096 0.133491 0.0178023 0.0294447 0.0186963 1.00491 1.66893 51.733 7.40747e-005 0.0150329 43.6276 99.4
