Title: Gale2013MORB-0

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1298.15 100.059111 1.204489 0.000000 27.033874 22.452242 46.706609 0.000000 2.295976 0.365922 
5000.00 1293.15 100.057752 1.118938 0.000000 26.975981 22.470823 46.804342 0.000000 2.319399 0.368268 
5000.00 1288.15 100.056431 1.039513 0.000000 26.918298 22.490049 46.897207 0.000000 2.340940 0.370424 
5000.00 1283.15 100.055150 0.965662 0.000000 26.861029 22.509761 46.985513 0.000000 2.360780 0.372405 
5000.00 1278.15 100.054273 0.635528 0.000000 26.830210 22.529208 47.151933 0.125599 2.401725 0.380070 
5000.00 1273.15 100.053569 0.000000 0.149212 26.846643 22.403682 47.382565 0.445045 2.430930 0.395491 
5000.00 1268.15 100.053055 0.000000 0.155082 26.833840 22.424932 47.371242 0.445585 2.426882 0.395491 
5000.00 1263.15 100.052542 0.000000 0.160960 26.821666 22.445808 47.359696 0.446185 2.422736 0.395491 
5000.00 1258.15 100.052030 0.000000 0.166847 26.810099 22.466337 47.347920 0.446848 2.418488 0.395491 
5000.00 1253.15 100.051520 0.000000 0.172743 26.799121 22.486548 47.335909 0.447573 2.414135 0.395491 
5000.00 1248.15 100.051011 0.000000 0.178649 26.788713 22.506465 47.323656 0.448364 2.409673 0.395491 
5000.00 1243.15 100.050503 0.000000 0.184564 26.778861 22.526115 47.311152 0.449221 2.405097 0.395491 
5000.00 1238.15 100.049996 0.000000 0.190490 26.769550 22.545521 47.298392 0.450146 2.400405 0.395491 
5000.00 1233.15 100.049491 0.000000 0.196425 26.760767 22.564707 47.285367 0.451143 2.395591 0.395491 
5000.00 1228.15 100.048987 0.000000 0.202372 26.752499 22.583695 47.272068 0.452211 2.390650 0.395491 
5000.00 1223.15 100.048484 0.000000 0.208329 26.744737 22.602506 47.258488 0.453354 2.385578 0.395491 
5000.00 1218.15 100.047983 0.000000 0.214299 26.737471 22.621163 47.244616 0.454575 2.380369 0.395491 
5000.00 1213.15 100.047483 0.000000 0.220280 26.730692 22.639686 47.230444 0.455874 2.375016 0.395491 
