Title: Gale2013MORB-0

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1323.15 100.066563 33.489789 0.658005 0.000000 8.194845 6.593667 17.466048 0.000000 0.466904 0.110319 
5000.00 1318.15 100.064980 33.484090 0.611947 0.000000 8.179343 6.595213 17.511451 0.000000 0.474666 0.111469 
5000.00 1313.15 100.063446 33.478514 0.569420 0.000000 8.163301 6.597287 17.554255 0.000000 0.481732 0.112519 
5000.00 1308.15 100.061957 33.473039 0.530067 0.000000 8.146879 6.599797 17.594642 0.000000 0.488175 0.113479 
5000.00 1303.15 100.060513 33.467604 0.493578 0.000000 8.130204 6.602663 17.632741 0.000000 0.494061 0.114357 
5000.00 1298.15 100.059111 33.462244 0.459684 0.000000 8.113386 6.605814 17.668753 0.000000 0.499445 0.115162 
5000.00 1293.15 100.057752 33.456947 0.428148 0.000000 8.096517 6.609189 17.702814 0.000000 0.504377 0.115901 
5000.00 1288.15 100.056431 33.451703 0.398762 0.000000 8.079674 6.612736 17.735052 0.000000 0.508901 0.116579 
5000.00 1283.15 100.055150 33.446505 0.371338 0.000000 8.062919 6.616407 17.765582 0.000000 0.513057 0.117202 
5000.00 1278.15 100.054273 33.434593 0.244372 0.000000 8.054123 6.620024 17.825569 0.049236 0.521654 0.119615 
5000.00 1273.15 100.053569 33.415954 0.000000 0.038635 8.058665 6.581730 17.909938 0.174463 0.528055 0.124468 
5000.00 1268.15 100.053055 33.409572 0.000000 0.040139 8.054186 6.585675 17.903371 0.174675 0.527060 0.124468 
5000.00 1263.15 100.052542 33.403187 0.000000 0.041643 8.049892 6.589507 17.896724 0.174910 0.526042 0.124468 
5000.00 1258.15 100.052030 33.396798 0.000000 0.043148 8.045777 6.593235 17.889997 0.175169 0.525003 0.124468 
5000.00 1253.15 100.051520 33.390403 0.000000 0.044655 8.041834 6.596867 17.883185 0.175454 0.523940 0.124468 
5000.00 1248.15 100.051011 33.384004 0.000000 0.046162 8.038059 6.600410 17.876287 0.175764 0.522854 0.124468 
5000.00 1243.15 100.050503 33.377600 0.000000 0.047671 8.034447 6.603871 17.869299 0.176100 0.521744 0.124468 
5000.00 1238.15 100.049996 33.371189 0.000000 0.049181 8.030993 6.607257 17.862220 0.176463 0.520608 0.124468 
5000.00 1233.15 100.049491 33.364772 0.000000 0.050692 8.027693 6.610575 17.855046 0.176853 0.519445 0.124468 
5000.00 1228.15 100.048987 33.358349 0.000000 0.052204 8.024544 6.613831 17.847774 0.177272 0.518255 0.124468 
5000.00 1223.15 100.048484 33.351918 0.000000 0.053718 8.021541 6.617033 17.840401 0.177720 0.517037 0.124468 
5000.00 1218.15 100.047983 33.345480 0.000000 0.055234 8.018683 6.620184 17.832923 0.178199 0.515789 0.124468 
5000.00 1213.15 100.047483 33.339033 0.000000 0.056751 8.015965 6.623293 17.825338 0.178708 0.514510 0.124468 
