Title: MORB_Gale2013_0

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 whitlockite 
7000.00 1673.15 99.385338 99.385338 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
7000.00 1663.15 99.385414 99.385414 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
7000.00 1653.15 99.385506 99.385506 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
7000.00 1643.15 99.385613 99.385613 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
7000.00 1633.15 99.385736 99.385736 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
7000.00 1623.15 99.385875 99.385875 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
7000.00 1613.15 99.386031 99.386031 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
7000.00 1603.15 99.386203 99.386203 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
7000.00 1593.15 99.386394 99.386394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
7000.00 1583.15 99.386602 99.386602 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
7000.00 1573.15 99.386717 99.048517 0.000000 0.338200 0.000000 0.000000 0.000000 0.000000 
7000.00 1563.15 99.048947 93.478745 0.000000 5.570201 0.000000 0.000000 0.000000 0.000000 
7000.00 1553.15 93.479655 88.285524 0.000000 5.194132 0.000000 0.000000 0.000000 0.000000 
7000.00 1543.15 88.286819 83.634587 0.000000 4.652232 0.000000 0.000000 0.000000 0.000000 
7000.00 1533.15 83.636193 79.480859 0.000000 4.155334 0.000000 0.000000 0.000000 0.000000 
7000.00 1523.15 79.481438 70.200848 0.000000 4.598918 0.000000 4.681671 0.000000 0.000000 
7000.00 1513.15 70.200960 59.841383 0.000000 2.484190 1.597252 6.278136 0.000000 0.000000 
7000.00 1503.15 59.842306 51.386031 0.000000 3.107961 0.000000 5.348314 0.000000 0.000000 
7000.00 1493.15 51.386244 44.801004 0.000000 2.348261 0.000000 4.236979 0.000000 0.000000 
7000.00 1483.15 44.801435 39.523884 0.000000 1.833982 0.000000 3.443569 0.000000 0.000000 
7000.00 1473.15 39.524473 35.189576 0.000000 1.468352 0.002977 2.863568 0.000000 0.000000 
7000.00 1463.15 35.191328 31.561645 0.000000 1.107900 0.117371 2.404412 0.000000 0.000000 
7000.00 1453.15 31.563475 28.456710 0.000000 0.903199 0.125528 2.078039 0.000000 0.000000 
7000.00 1443.15 28.458519 25.721899 0.000000 0.762482 0.127872 1.831138 0.000000 0.015128 
7000.00 1433.15 25.724669 23.283853 0.000000 0.658584 0.120885 1.634497 0.000000 0.026851 
7000.00 1423.15 23.319372 16.797201 0.000000 2.253228 0.000000 1.856388 2.299023 0.113532 
7000.00 1413.15 16.810940 14.276863 0.000000 0.803088 0.000000 0.984688 0.707889 0.038412 
7000.00 1403.15 14.287633 12.490121 0.000000 0.547670 0.000000 0.744337 0.479642 0.025862 
7000.00 1393.15 12.499111 11.153878 0.000000 0.398697 0.000000 0.584156 0.343873 0.018508 
7000.00 1383.15 11.161720 10.113570 0.000000 0.305224 0.000000 0.471813 0.257261 0.013853 
7000.00 1373.15 10.120625 9.278305 0.000000 0.243053 0.000000 0.389756 0.198794 0.010718 
7000.00 1363.15 9.284794 8.589381 0.000000 0.200098 0.000000 0.328073 0.157715 0.009527 
7000.00 1353.15 8.595445 8.011650 0.000000 0.168613 0.000000 0.279974 0.127345 0.007863 
7000.00 1343.15 8.016602 7.401299 0.101157 0.106024 0.000000 0.303038 0.096764 0.008320 
