Title: Gale2013MORB-6

Phase Masses:
Pressure Temperature mass liquid_0 clinopyroxene_0 feldspar_0 
5000.00 1573.15 100.155117 100.155117 0.000000 0.000000 
5000.00 1568.15 100.155279 100.155279 0.000000 0.000000 
5000.00 1563.15 100.155448 100.155448 0.000000 0.000000 
5000.00 1558.15 100.155622 100.155622 0.000000 0.000000 
5000.00 1553.15 100.155802 100.155802 0.000000 0.000000 
5000.00 1548.15 100.155988 100.155988 0.000000 0.000000 
5000.00 1543.15 100.156335 97.915530 2.240806 0.000000 
5000.00 1538.15 100.156950 94.604431 5.552519 0.000000 
5000.00 1533.15 100.157778 91.447827 8.709951 0.000000 
5000.00 1528.15 100.158809 88.432046 11.726763 0.000000 
5000.00 1523.15 100.160032 85.545204 14.614828 0.000000 
5000.00 1518.15 100.161435 82.776971 17.384464 0.000000 
5000.00 1513.15 100.162080 76.424821 20.614982 3.122277 
5000.00 1508.15 100.162629 70.511063 23.547142 6.104423 
5000.00 1503.15 100.163152 65.036136 26.218930 8.908085 
5000.00 1498.15 100.163701 59.954433 28.667294 11.541974 
5000.00 1493.15 100.164325 55.236671 30.920035 14.007620 
5000.00 1488.15 100.165063 50.861866 32.999278 16.303919 
5000.00 1483.15 100.165946 46.811921 34.923726 18.430300 
5000.00 1478.15 100.166999 43.068810 36.709857 20.388332 
5000.00 1473.15 100.168236 39.612812 38.372585 22.182839 
