Title: Gale2013MORB-6

Phase Volumes:
Pressure Temperature mass V liquid_0 clinopyroxene_0 feldspar_0 
5000.00 1573.15 100.155117 36.271464 36.271464 0.000000 0.000000 
5000.00 1568.15 100.155279 36.258889 36.258889 0.000000 0.000000 
5000.00 1563.15 100.155448 36.246318 36.246318 0.000000 0.000000 
5000.00 1558.15 100.155622 36.233751 36.233751 0.000000 0.000000 
5000.00 1553.15 100.155802 36.221188 36.221188 0.000000 0.000000 
5000.00 1548.15 100.155988 36.208629 36.208629 0.000000 0.000000 
5000.00 1543.15 100.156335 36.087305 35.391306 0.696000 0.000000 
5000.00 1538.15 100.156950 35.914282 34.191956 1.722326 0.000000 
5000.00 1533.15 100.157778 35.749095 33.051012 2.698083 0.000000 
5000.00 1528.15 100.158809 35.591086 31.963432 3.627654 0.000000 
5000.00 1523.15 100.160032 35.439684 30.924826 4.514858 0.000000 
5000.00 1518.15 100.161435 35.294389 29.931371 5.363018 0.000000 
5000.00 1513.15 100.162080 35.096931 27.573791 6.351195 1.171945 
5000.00 1508.15 100.162629 34.915248 25.376862 7.244598 2.293787 
5000.00 1503.15 100.163152 34.747890 23.341916 8.055156 3.350819 
5000.00 1498.15 100.163701 34.593000 21.452537 8.794483 4.345979 
5000.00 1493.15 100.164325 34.449228 19.698317 9.471391 5.279519 
5000.00 1488.15 100.165063 34.315526 18.071866 10.092953 6.150707 
5000.00 1483.15 100.165946 34.191014 16.566793 10.665191 6.959030 
5000.00 1478.15 100.166999 34.074900 15.176664 11.193434 7.704803 
5000.00 1473.15 100.168236 33.966443 13.894332 11.682509 8.389602 
