Title: Gale2013MORB-6

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 quartz rhm-oxide_0 whitlockite 
5000.00 1323.15 100.091371 0.000000 0.502611 31.343775 21.020567 0.000000 44.901627 0.000000 1.943491 0.379300 
5000.00 1318.15 100.090598 0.000000 0.509581 31.300091 21.078243 0.000000 44.885508 0.000000 1.937875 0.379300 
5000.00 1313.15 100.089824 0.000000 0.516526 31.258138 21.134437 0.000000 44.869275 0.000000 1.932148 0.379300 
5000.00 1308.15 100.089047 0.000000 0.523442 31.217822 21.189251 0.000000 44.852926 0.000000 1.926306 0.379300 
5000.00 1303.15 100.088268 0.000000 0.530329 31.179051 21.242781 0.000000 44.836461 0.000000 1.920346 0.379300 
5000.00 1298.15 100.087487 0.000000 0.537187 31.141741 21.295116 0.000000 44.819880 0.000000 1.914264 0.379300 
5000.00 1293.15 100.086705 0.000000 0.544014 31.105817 21.346340 0.000000 44.803180 0.000000 1.908055 0.379300 
5000.00 1288.15 100.085920 0.000000 0.550808 31.071208 21.396530 0.000000 44.786359 0.000000 1.901715 0.379300 
5000.00 1283.15 100.085134 0.000000 0.557567 31.037848 21.445763 0.000000 44.769416 0.000000 1.895241 0.379300 
5000.00 1278.15 100.084346 0.000000 0.564289 31.005676 21.494108 0.000000 44.752347 0.000000 1.888626 0.379300 
5000.00 1273.15 100.083556 0.000000 0.570974 30.974635 21.541631 0.000000 44.735151 0.000000 1.881866 0.379300 
5000.00 1268.15 100.082765 0.000000 0.577618 30.944669 21.588397 0.000000 44.717825 0.000000 1.874956 0.379300 
5000.00 1263.15 100.081971 0.000000 0.584220 30.915730 21.634466 0.000000 44.700365 0.000000 1.867889 0.379300 
5000.00 1258.15 100.081176 0.000000 0.590779 30.887769 21.679896 0.000000 44.682771 0.000000 1.860661 0.379300 
5000.00 1253.15 100.080379 0.000000 0.597291 30.860743 21.724743 0.000000 44.665038 0.000000 1.853264 0.379300 
5000.00 1248.15 100.079581 0.000000 0.603756 30.834608 21.769060 0.000000 44.647164 0.000000 1.845693 0.379300 
5000.00 1243.15 100.078780 0.000000 0.610170 30.809326 21.812899 0.000000 44.629146 0.000000 1.837940 0.379300 
5000.00 1238.15 100.077978 0.000000 0.616533 30.784858 21.856311 0.000000 44.610979 0.000000 1.829997 0.379300 
5000.00 1233.15 100.077174 0.000000 0.622841 30.761170 21.899344 0.000000 44.592662 0.000000 1.821857 0.379300 
5000.00 1228.15 100.076369 0.000000 0.629092 30.738227 21.942047 0.000000 44.574191 0.000000 1.813512 0.379300 
5000.00 1223.15 100.075562 0.000000 0.635285 30.715998 21.984467 0.000000 44.555561 0.000000 1.804951 0.379300 
5000.00 1218.15 100.074753 0.000000 0.641417 30.694451 22.026650 0.000000 44.536768 0.000000 1.796166 0.379300 
5000.00 1213.15 100.073942 0.000000 0.647485 30.673559 22.068642 0.000000 44.517809 0.000000 1.787147 0.379300 
5000.00 1208.15 100.073130 0.000000 0.653488 30.653291 22.110489 0.000000 44.498680 0.000000 1.777882 0.379300 
5000.00 1203.15 100.071141 0.000000 0.658622 30.188293 22.258204 0.451539 44.435643 0.000000 1.699540 0.379300 
5000.00 1198.15 100.069131 0.000000 0.663560 29.720529 22.406823 0.908152 44.371506 0.000000 1.619262 0.379300 
5000.00 1193.15 100.067150 0.000000 0.668336 29.267852 22.552009 1.351672 44.308092 0.000000 1.539889 0.379300 
5000.00 1188.15 100.065197 0.000000 0.672954 28.829725 22.693802 1.782550 44.245427 0.000000 1.461438 0.379300 
5000.00 1183.15 100.063273 0.000000 0.677417 28.405636 22.832246 2.201209 44.183537 0.000000 1.383928 0.379300 
5000.00 1178.15 100.061379 0.000000 0.681729 27.995102 22.967382 2.608049 44.122445 0.000000 1.307372 0.379300 
5000.00 1173.15 100.059515 0.000000 0.685893 27.597660 23.099252 3.003449 44.062174 0.000000 1.231788 0.379300 
5000.00 1168.15 100.057682 0.000000 0.689913 27.212870 23.227900 3.387766 44.002745 0.000000 1.157187 0.379300 
5000.00 1163.15 100.055879 0.000000 0.693793 26.840312 23.353370 3.761340 43.944180 0.000000 1.083584 0.379300 
5000.00 1158.15 100.054108 0.000000 0.697537 26.479582 23.475707 4.124496 43.886497 0.000000 1.010989 0.379300 
5000.00 1153.15 100.052453 0.399568 0.665280 26.092776 23.636142 4.526423 43.806366 0.000000 0.925898 0.000000 
5000.00 1148.15 100.050740 0.399340 0.669290 25.755399 23.751477 4.868779 43.750904 0.000000 0.855551 0.000000 
5000.00 1143.15 100.049061 0.399116 0.673168 25.428734 23.863827 5.201600 43.696373 0.000000 0.786242 0.000000 
5000.00 1138.15 100.047413 0.398897 0.676916 25.112442 23.973238 5.525155 43.642788 0.000000 0.717977 0.000000 
5000.00 1133.15 100.045799 0.398681 0.680539 24.806194 24.079756 5.839702 43.590163 0.000000 0.650764 0.000000 
5000.00 1128.15 100.044218 0.398469 0.684041 24.509672 24.183430 6.145490 43.538509 0.000000 0.584607 0.000000 
5000.00 1123.15 100.042669 0.398260 0.687425 24.222573 24.284306 6.442757 43.487838 0.000000 0.519510 0.000000 
5000.00 1118.15 100.040959 0.397900 0.779376 22.851744 24.727018 8.194002 42.843016 0.156045 0.091857 0.000000 
5000.00 1113.15 100.040051 0.397568 0.800655 22.564423 24.814322 8.581703 42.692969 0.188409 0.000000 0.000000 
5000.00 1108.15 100.039344 0.397256 0.802305 22.567757 24.806925 8.598436 42.680439 0.186225 0.000000 0.000000 
5000.00 1103.15 100.038645 0.396954 0.803935 22.571360 24.799912 8.614574 42.667791 0.184120 0.000000 0.000000 
5000.00 1098.15 100.037954 0.396660 0.805545 22.575220 24.793277 8.630137 42.655020 0.182094 0.000000 0.000000 
5000.00 1093.15 100.037270 0.396375 0.807136 22.579331 24.787013 8.645147 42.642118 0.180150 0.000000 0.000000 
5000.00 1088.15 100.036594 0.396097 0.808709 22.583684 24.781113 8.659624 42.629080 0.178288 0.000000 0.000000 
5000.00 1083.15 100.035926 0.395828 0.810263 22.588273 24.775569 8.673585 42.615898 0.176510 0.000000 0.000000 
5000.00 1078.15 100.035266 0.395566 0.811800 22.593091 24.770375 8.687049 42.602567 0.174818 0.000000 0.000000 
5000.00 1073.15 100.034614 0.395312 0.813318 22.598134 24.765524 8.700033 42.589080 0.173213 0.000000 0.000000 
5000.00 1068.15 100.033969 0.395064 0.814820 22.603396 24.761010 8.712553 42.575429 0.171696 0.000000 0.000000 
5000.00 1063.15 100.033332 0.394824 0.816305 22.608874 24.756827 8.724624 42.561609 0.170268 0.000000 0.000000 
5000.00 1058.15 100.032702 0.394590 0.817773 22.614565 24.752968 8.736262 42.547613 0.168932 0.000000 0.000000 
5000.00 1053.15 100.032080 0.394362 0.819225 22.620465 24.749427 8.747479 42.533433 0.167688 0.000000 0.000000 
5000.00 1048.15 100.031466 0.394141 0.820661 22.626572 24.746198 8.758292 42.519064 0.166537 0.000000 0.000000 
5000.00 1043.15 100.030859 0.393926 0.822081 22.632884 24.743276 8.768711 42.504499 0.165482 0.000000 0.000000 
5000.00 1038.15 100.030259 0.393717 0.823486 22.639397 24.740656 8.778750 42.489732 0.164522 0.000000 0.000000 
5000.00 1033.15 100.029667 0.393513 0.824876 22.646111 24.738331 8.788421 42.474757 0.163659 0.000000 0.000000 
5000.00 1028.15 100.029083 0.393315 0.826251 22.653022 24.736296 8.797735 42.459568 0.162894 0.000000 0.000000 
