Title: Gale2013MORB-2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 rhm-oxide_0 whitlockite 
5000.00 1243.15 100.073714 32.988156 0.000000 0.195721 6.721727 7.961074 0.971912 16.736008 0.272399 0.129314 
5000.00 1238.15 100.071728 32.977738 0.000000 0.196921 6.597148 7.992179 1.095322 16.711202 0.255652 0.129314 
5000.00 1233.15 100.069768 32.967378 0.000000 0.198075 6.477121 8.022330 1.214816 16.686629 0.239092 0.129314 
5000.00 1228.15 100.067835 32.957078 0.000000 0.199185 6.361458 8.051545 1.330554 16.662298 0.222724 0.129314 
5000.00 1223.15 100.065928 32.946839 0.000000 0.200250 6.249984 8.079836 1.442686 16.638217 0.206551 0.129314 
5000.00 1218.15 100.064049 32.936663 0.000000 0.201273 6.142536 8.107219 1.551350 16.614395 0.190575 0.129314 
5000.00 1213.15 100.062197 32.926552 0.000000 0.202254 6.038956 8.133709 1.656678 16.590841 0.174800 0.129314 
5000.00 1208.15 100.060374 32.916507 0.000000 0.203195 5.939098 8.159320 1.758792 16.567561 0.159227 0.129314 
5000.00 1203.15 100.058578 32.906531 0.000000 0.204098 5.842823 8.184067 1.857806 16.544564 0.143859 0.129314 
5000.00 1198.15 100.056812 32.896625 0.000000 0.204962 5.749998 8.207966 1.953830 16.521856 0.128699 0.129314 
5000.00 1193.15 100.055075 32.886790 0.000000 0.205790 5.660497 8.231030 2.046965 16.499445 0.113748 0.129314 
5000.00 1188.15 100.053368 32.877027 0.000000 0.206583 5.574201 8.253275 2.137309 16.477336 0.099008 0.129314 
5000.00 1183.15 100.051690 32.867339 0.000000 0.207341 5.490995 8.274716 2.224953 16.455537 0.084481 0.129314 
5000.00 1178.15 100.050042 32.857725 0.000000 0.208066 5.410772 8.295368 2.309985 16.434051 0.070168 0.129314 
5000.00 1173.15 100.048425 32.848188 0.000000 0.208760 5.333427 8.315246 2.392486 16.412885 0.056071 0.129314 
5000.00 1168.15 100.046838 32.838729 0.000000 0.209422 5.258860 8.334364 2.472535 16.392044 0.042189 0.129314 
5000.00 1163.15 100.045281 32.829347 0.000000 0.210055 5.186977 8.352737 2.550208 16.371531 0.028525 0.129314 
5000.00 1158.15 100.043756 32.820045 0.000000 0.210659 5.117686 8.370381 2.625575 16.351351 0.015079 0.129314 
5000.00 1153.15 100.042427 32.822787 0.148958 0.201182 5.046659 8.396522 2.706273 16.323192 0.000000 0.000000 
5000.00 1148.15 100.041794 32.816123 0.148833 0.201959 5.062098 8.382932 2.705587 16.314714 0.000000 0.000000 
5000.00 1143.15 100.041163 32.809467 0.148712 0.202722 5.077313 8.369591 2.704878 16.306251 0.000000 0.000000 
5000.00 1138.15 100.040536 32.802821 0.148595 0.203471 5.092309 8.356497 2.704145 16.297804 0.000000 0.000000 
5000.00 1133.15 100.039913 32.796184 0.148483 0.204205 5.107089 8.343646 2.703389 16.289372 0.000000 0.000000 
5000.00 1128.15 100.039293 32.789556 0.148374 0.204924 5.121657 8.331035 2.702611 16.280956 0.000000 0.000000 
5000.00 1123.15 100.038676 32.782937 0.148269 0.205628 5.136016 8.318660 2.701810 16.272554 0.000000 0.000000 
5000.00 1118.15 100.038064 32.776326 0.148167 0.206317 5.150169 8.306519 2.700987 16.264167 0.000000 0.000000 
5000.00 1113.15 100.037454 32.769723 0.148069 0.206990 5.164121 8.294607 2.700142 16.255794 0.000000 0.000000 
5000.00 1108.15 100.036849 32.763128 0.147974 0.207647 5.177874 8.282923 2.699276 16.247435 0.000000 0.000000 
5000.00 1103.15 100.036247 32.756542 0.147881 0.208288 5.191433 8.271462 2.698388 16.239089 0.000000 0.000000 
5000.00 1098.15 100.035648 32.749963 0.147792 0.208912 5.204801 8.260223 2.697479 16.230756 0.000000 0.000000 
5000.00 1093.15 100.035054 32.743391 0.147705 0.209519 5.217981 8.249201 2.696549 16.222435 0.000000 0.000000 
5000.00 1088.15 100.034463 32.736826 0.147622 0.210109 5.230976 8.238395 2.695599 16.214126 0.000000 0.000000 
5000.00 1083.15 100.033876 32.730267 0.147540 0.210680 5.243790 8.227801 2.694628 16.205827 0.000000 0.000000 
5000.00 1078.15 100.033293 32.723715 0.147462 0.211234 5.256427 8.217416 2.693637 16.197539 0.000000 0.000000 
5000.00 1073.15 100.032714 32.717168 0.147385 0.211770 5.268889 8.207238 2.692626 16.189261 0.000000 0.000000 
5000.00 1068.15 100.032139 32.710627 0.147311 0.212286 5.281179 8.197264 2.691596 16.180991 0.000000 0.000000 
5000.00 1063.15 100.031567 32.704090 0.147239 0.212783 5.293301 8.187491 2.690546 16.172730 0.000000 0.000000 
5000.00 1058.15 100.031000 32.697557 0.147170 0.213261 5.305258 8.177917 2.689477 16.164475 0.000000 0.000000 
5000.00 1053.15 100.030437 32.691027 0.147102 0.213719 5.317053 8.168538 2.688389 16.156227 0.000000 0.000000 
5000.00 1048.15 100.029878 32.684499 0.147036 0.214156 5.328688 8.159353 2.687282 16.147984 0.000000 0.000000 
5000.00 1043.15 100.029323 32.677973 0.146973 0.214573 5.340167 8.150359 2.686157 16.139745 0.000000 0.000000 
5000.00 1038.15 100.028772 32.671447 0.146911 0.214969 5.351492 8.141554 2.685014 16.131508 0.000000 0.000000 
5000.00 1033.15 100.028226 32.664919 0.146851 0.215343 5.362666 8.132933 2.683853 16.123273 0.000000 0.000000 
5000.00 1028.15 100.027684 32.658389 0.146793 0.215696 5.373691 8.124496 2.682674 16.115038 0.000000 0.000000 
5000.00 1023.15 100.027146 32.651855 0.146737 0.216028 5.384570 8.116240 2.681479 16.106801 0.000000 0.000000 
5000.00 1018.15 100.026613 32.645313 0.146682 0.216337 5.395306 8.108161 2.680267 16.098559 0.000000 0.000000 
5000.00 1013.15 100.026084 32.638763 0.146629 0.216625 5.405901 8.100258 2.679038 16.090312 0.000000 0.000000 
5000.00 1008.15 100.025560 32.632200 0.146578 0.216890 5.416356 8.092528 2.677794 16.082055 0.000000 0.000000 
