Title: Gale2013MORB

Phase Volumes:
Pressure Temperature mass V liquid_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
5000.00 1573.15 99.396520 36.288896 36.288896 0.000000 0.000000 0.000000 
5000.00 1563.15 99.396821 36.264431 36.264431 0.000000 0.000000 0.000000 
5000.00 1553.15 99.397144 36.239981 36.239981 0.000000 0.000000 0.000000 
5000.00 1543.15 99.397489 36.215546 36.215546 0.000000 0.000000 0.000000 
5000.00 1533.15 99.397102 35.985293 34.645144 1.340148 0.000000 0.000000 
5000.00 1523.15 95.073582 34.365297 32.698457 1.666841 0.000000 0.000000 
5000.00 1513.15 89.681944 32.404389 30.060813 1.642801 0.000000 0.700776 
5000.00 1503.15 82.485530 29.686995 25.120566 1.348901 0.484143 2.733386 
5000.00 1493.15 69.246013 24.833008 21.094789 1.067583 0.302145 2.368490 
5000.00 1483.15 58.474690 20.879563 18.076905 0.764746 0.236197 1.801715 
5000.00 1473.15 50.412328 17.909308 15.722509 0.569513 0.191390 1.425896 
5000.00 1463.15 44.132316 15.587839 13.826071 0.438727 0.157996 1.165046 
5000.00 1453.15 39.081975 13.715136 12.259327 0.347537 0.132088 0.976184 
5000.00 1443.15 34.916504 12.166028 10.937038 0.282183 0.111260 0.835546 
