Title: Gale2013MORB-5

Phase Volumes:
Pressure Temperature mass V liquid_0 clinopyroxene_0 feldspar_0 
5000.00 1573.15 100.141748 36.398936 36.398936 0.000000 0.000000 
5000.00 1568.15 100.141896 36.386373 36.386373 0.000000 0.000000 
5000.00 1563.15 100.142050 36.373815 36.373815 0.000000 0.000000 
5000.00 1558.15 100.142210 36.361260 36.361260 0.000000 0.000000 
5000.00 1553.15 100.142375 36.348709 36.348709 0.000000 0.000000 
5000.00 1548.15 100.142546 36.336162 36.336162 0.000000 0.000000 
5000.00 1543.15 100.142722 36.323618 36.323618 0.000000 0.000000 
5000.00 1538.15 100.143005 36.279951 36.081175 0.198776 0.000000 
5000.00 1533.15 100.143854 36.107179 34.885620 1.221559 0.000000 
5000.00 1528.15 100.144854 35.924976 33.403519 2.262032 0.259425 
5000.00 1523.15 100.145488 35.683433 30.523421 3.494310 1.665703 
5000.00 1518.15 100.145914 35.466189 27.907754 4.585670 2.972765 
5000.00 1513.15 100.146197 35.268436 25.503651 5.564001 4.200783 
5000.00 1508.15 100.146403 35.086950 23.278204 6.448509 5.360238 
5000.00 1503.15 100.146597 34.919644 21.213347 7.252231 6.454066 
5000.00 1498.15 100.146840 34.765137 19.300236 7.984350 7.480551 
