Title: Gale2013MORB-5

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 rhm-oxide_0 whitlockite 
5000.00 1298.15 100.096772 0.000000 0.891757 31.217554 22.150954 0.031334 44.034137 1.401620 0.369416 
5000.00 1293.15 100.094620 0.000000 0.897259 30.574960 22.319703 0.646925 43.965711 1.320647 0.369416 
5000.00 1288.15 100.092483 0.000000 0.902595 29.957631 22.484995 1.240207 43.897519 1.240120 0.369416 
5000.00 1283.15 100.090362 0.000000 0.907768 29.364167 22.646866 1.812490 43.829593 1.160062 0.369416 
5000.00 1278.15 100.088257 0.000000 0.912782 28.793287 22.805352 2.364960 43.761962 1.080498 0.369416 
5000.00 1273.15 100.086168 0.000000 0.917638 28.243819 22.960489 2.898699 43.694659 1.001449 0.369416 
5000.00 1268.15 100.084098 0.000000 0.922341 27.714688 23.112310 3.414692 43.627711 0.922940 0.369416 
5000.00 1263.15 100.082045 0.000000 0.926892 27.204901 23.260852 3.913840 43.561151 0.844993 0.369416 
5000.00 1258.15 100.080011 0.000000 0.931295 26.713545 23.406149 4.396970 43.495007 0.767630 0.369416 
5000.00 1253.15 100.077997 0.000000 0.935552 26.239773 23.548236 4.864839 43.429309 0.690873 0.369416 
5000.00 1248.15 100.076003 0.000000 0.939668 25.782800 23.687147 5.318144 43.364086 0.614743 0.369416 
5000.00 1243.15 100.074030 0.000000 0.943644 25.341896 23.822918 5.757531 43.299365 0.539261 0.369416 
5000.00 1238.15 100.072079 0.000000 0.947484 24.916381 23.955582 6.183593 43.235176 0.464447 0.369416 
5000.00 1233.15 100.070150 0.000000 0.951191 24.505618 24.085176 6.596883 43.171545 0.390321 0.369416 
5000.00 1228.15 100.068243 0.000000 0.954768 24.109012 24.211735 6.997911 43.108500 0.316903 0.369416 
5000.00 1223.15 100.066360 0.000000 0.958218 23.726006 24.335292 7.387154 43.046065 0.244209 0.369416 
5000.00 1218.15 100.064501 0.000000 0.961544 23.356074 24.455885 7.765055 42.984268 0.172259 0.369416 
5000.00 1213.15 100.062666 0.000000 0.964750 22.998723 24.573549 8.132028 42.923132 0.101069 0.369416 
5000.00 1208.15 100.060856 0.000000 0.967838 22.653485 24.688319 8.488462 42.862682 0.030655 0.369416 
5000.00 1203.15 100.059629 0.000000 0.971383 22.510786 24.726261 8.657357 42.824428 0.000000 0.369416 
5000.00 1198.15 100.058846 0.000000 0.975326 22.520150 24.706253 8.684538 42.803163 0.000000 0.369416 
5000.00 1193.15 100.058065 0.000000 0.979234 22.529817 24.686919 8.710747 42.781932 0.000000 0.369416 
5000.00 1188.15 100.057287 0.000000 0.983106 22.539761 24.668250 8.736024 42.760732 0.000000 0.369416 
5000.00 1183.15 100.056512 0.000000 0.986938 22.549953 24.650237 8.760407 42.739562 0.000000 0.369416 
