Title: Gale2013MORB-5

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 rhm-oxide_0 whitlockite 
5000.00 1573.15 100.139008 36.624416 36.624416 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1568.15 100.139154 36.612114 36.612114 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.139306 36.599817 36.599817 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1558.15 100.139462 36.587523 36.587523 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.139625 36.575232 36.575232 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1548.15 100.139792 36.562946 36.562946 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.139965 36.550663 36.550663 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1538.15 100.139774 36.427703 35.709631 0.000000 0.718072 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.139641 36.273413 34.635730 0.000000 1.637683 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1528.15 100.139696 36.125561 33.611321 0.000000 2.514240 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.139926 35.983742 32.632912 0.000000 3.350830 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1518.15 100.140317 35.847551 31.697171 0.000000 4.150380 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.140000 35.661860 29.648711 0.000000 5.121273 0.000000 0.000000 0.891876 0.000000 0.000000 
5000.00 1508.15 100.138962 35.453300 26.952859 0.000000 6.144463 0.000000 0.000000 2.355978 0.000000 0.000000 
5000.00 1503.15 100.137808 35.261506 24.438062 0.000000 7.068614 0.000000 0.000000 3.754830 0.000000 0.000000 
5000.00 1498.15 100.136635 35.086119 22.121437 0.000000 7.898775 0.000000 0.000000 5.065907 0.000000 0.000000 
5000.00 1493.15 100.135510 34.925981 20.004514 0.000000 8.644006 0.000000 0.000000 6.277461 0.000000 0.000000 
5000.00 1488.15 100.134519 34.778861 18.054912 0.000000 8.882843 0.436257 0.000000 7.404849 0.000000 0.000000 
5000.00 1483.15 100.133677 34.643461 16.273984 0.000000 8.877950 1.055025 0.000000 8.436502 0.000000 0.000000 
5000.00 1478.15 100.132956 34.518205 14.647789 0.000000 8.876370 1.618368 0.000000 9.375678 0.000000 0.000000 
5000.00 1473.15 100.132345 34.401510 13.153011 0.000000 8.879781 2.133640 0.000000 10.235078 0.000000 0.000000 
5000.00 1468.15 100.131832 34.292156 11.771328 0.000000 8.888566 2.607402 0.000000 11.024860 0.000000 0.000000 
5000.00 1463.15 100.131400 34.189193 10.487907 0.000000 8.902254 3.045458 0.000000 11.753574 0.000000 0.000000 
5000.00 1458.15 100.131025 34.091886 9.290399 0.000000 8.919829 3.452822 0.000000 12.428836 0.000000 0.000000 
5000.00 1453.15 100.130672 33.999683 8.168290 0.000000 8.939916 3.833643 0.000000 13.057833 0.000000 0.000000 
5000.00 1448.15 100.130287 33.912197 7.112382 0.000000 8.960865 4.191154 0.000000 13.647796 0.000000 0.000000 
5000.00 1443.15 100.129791 33.829221 6.114913 0.000000 8.980799 4.527694 0.000000 14.205815 0.000000 0.000000 
5000.00 1438.15 100.129051 33.747112 5.141644 0.000000 9.001015 4.860071 0.000000 14.735044 0.000000 0.009339 
5000.00 1433.15 100.128186 33.670988 4.256295 0.000000 9.017031 5.175053 0.000000 15.204126 0.000000 0.018484 
5000.00 1428.15 100.127519 33.603582 3.521380 0.000000 9.030107 5.469762 0.000000 15.555953 0.000000 0.026380 
5000.00 1423.15 100.127212 33.545266 2.950176 0.000000 9.041183 5.742883 0.000000 15.777521 0.000000 0.033502 
5000.00 1418.15 100.127063 33.494438 2.500793 0.000000 9.048861 5.994219 0.000000 15.910503 0.000000 0.040062 
5000.00 1413.15 100.126835 33.449800 2.136353 0.000000 9.051948 6.223169 0.000000 15.992270 0.000000 0.046060 
5000.00 1408.15 100.126385 33.410657 1.835923 0.000000 9.050228 6.428449 0.000000 16.044621 0.000000 0.051436 
5000.00 1403.15 100.125660 33.376526 1.587210 0.000000 9.044283 6.609191 0.000000 16.079704 0.000000 0.056138 
5000.00 1398.15 100.125264 33.343500 1.172753 0.000000 9.224861 6.553676 0.000000 16.231605 0.091946 0.068659 
