Title: MORB_Gale2013_0

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 apatite 
5000.00 1673.15 100.138469 100.138469 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1663.15 100.138585 100.138585 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1653.15 100.138718 100.138718 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1643.15 100.138867 100.138867 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1633.15 100.139034 100.139034 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1623.15 100.139218 100.139218 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1613.15 100.139420 100.139420 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1603.15 100.139641 100.139641 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1593.15 100.139882 100.139882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1583.15 100.140142 100.140142 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1573.15 100.140422 100.140422 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1563.15 100.140723 100.140723 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1553.15 100.141046 100.141046 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1543.15 100.141391 100.141391 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1533.15 100.141759 100.141759 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1523.15 100.142150 100.142150 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
5000.00 1513.15 100.141679 95.011100 0.000000 5.130578 0.000000 0.000000 0.000000 0.000000 
5000.00 1503.15 95.011936 90.100813 0.000000 4.911123 0.000000 0.000000 0.000000 0.000000 
5000.00 1493.15 90.101963 85.709879 0.000000 4.392084 0.000000 0.000000 0.000000 0.000000 
5000.00 1483.15 85.711299 81.767359 0.000000 3.943941 0.000000 0.000000 0.000000 0.000000 
5000.00 1473.15 81.768928 77.902677 0.000000 3.566857 0.000000 0.299394 0.000000 0.000000 
5000.00 1463.15 77.904423 71.488190 0.000000 3.239872 0.000000 3.176361 0.000000 0.000000 
5000.00 1453.15 71.488971 65.172169 0.000000 1.682299 1.161326 3.473176 0.000000 0.000000 
5000.00 1443.15 65.173948 59.709489 0.000000 1.723984 0.657849 3.082626 0.000000 0.000000 
5000.00 1433.15 59.711483 55.079518 0.000000 1.430248 0.578273 2.623445 0.000000 0.000000 
5000.00 1423.15 55.081699 51.101503 0.000000 1.199379 0.522416 2.258401 0.000000 0.000000 
5000.00 1413.15 51.103862 47.642485 0.000000 1.014139 0.487520 1.959718 0.000000 0.000000 
5000.00 1403.15 47.645042 44.600019 0.000000 0.863412 0.477381 1.704230 0.000000 0.000000 
5000.00 1393.15 44.612786 40.359146 0.000000 0.763633 0.702457 2.078587 0.708963 0.000000 
5000.00 1383.15 40.376548 36.046286 0.000000 0.640161 0.616014 2.122418 0.951668 0.000000 
5000.00 1373.15 36.060523 32.620603 0.000000 0.518826 0.416563 1.783701 0.720830 0.000000 
5000.00 1363.15 32.632671 29.827069 0.000000 0.431183 0.287593 1.525595 0.561231 0.000000 
5000.00 1353.15 29.837600 27.499724 0.000000 0.364830 0.202083 1.323866 0.447096 0.000000 
5000.00 1343.15 27.509130 25.526363 0.000000 0.312928 0.144073 1.162738 0.363027 0.000000 
5000.00 1333.15 25.534899 23.784002 0.000000 0.282659 0.098349 1.043401 0.303167 0.023321 
5000.00 1323.15 23.792849 22.236928 0.000000 0.254726 0.065458 0.940006 0.255110 0.040621 
5000.00 1313.15 22.245253 20.886894 0.000000 0.221451 0.046564 0.842664 0.214182 0.033498 
5000.00 1303.15 20.894807 19.696298 0.000000 0.194225 0.033328 0.761037 0.181922 0.027997 
5000.00 1293.15 19.703881 18.636654 0.000000 0.171685 0.023929 0.691867 0.156082 0.023665 
5000.00 1283.15 18.643968 17.686187 0.000000 0.152765 0.017273 0.632474 0.135075 0.020193 
5000.00 1273.15 17.693277 16.827871 0.000000 0.136719 0.012580 0.580958 0.117781 0.017368 
