Title: MORB_Gale2013-0

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 feldspar_0 spinel_0 whitlockite 
5000.00 1323.15 100.237453 32.932696 0.000000 0.858086 13.766380 1.524735 0.000000 15.835178 0.827421 0.120896 
5000.00 1318.15 100.236599 32.924791 0.000000 0.863069 13.703093 1.591816 0.000000 15.823248 0.822668 0.120896 
5000.00 1313.15 100.235740 32.916844 0.000000 0.868123 13.642114 1.656887 0.000000 15.811066 0.817759 0.120896 
5000.00 1308.15 100.234876 32.908851 0.000000 0.873251 13.583329 1.720064 0.000000 15.798622 0.812690 0.120896 
5000.00 1303.15 100.234006 32.900767 0.000000 0.878460 13.526629 1.781451 0.000000 15.785873 0.807458 0.120896 
5000.00 1298.15 100.233129 32.892639 0.000000 0.883755 13.471914 1.841145 0.000000 15.772868 0.802061 0.120896 
5000.00 1293.15 100.232245 32.884468 0.000000 0.889142 13.419097 1.899236 0.000000 15.759602 0.796495 0.120896 
5000.00 1288.15 100.231353 32.876252 0.000000 0.894627 13.368092 1.955808 0.000000 15.746073 0.790756 0.120896 
5000.00 1283.15 100.230452 32.867990 0.000000 0.900216 13.318825 2.010936 0.000000 15.732275 0.784841 0.120896 
5000.00 1278.15 100.229542 32.859681 0.000000 0.905915 13.271224 2.064692 0.000000 15.718208 0.778746 0.120896 
5000.00 1273.15 100.228622 32.851325 0.000000 0.911731 13.225223 2.117137 0.000000 15.703869 0.772469 0.120896 
5000.00 1268.15 100.227692 32.842922 0.000000 0.917671 13.180761 2.168331 0.000000 15.689257 0.766007 0.120896 
5000.00 1263.15 100.226749 32.834470 0.000000 0.923742 13.137781 2.218325 0.000000 15.674369 0.759357 0.120896 
5000.00 1258.15 100.225794 32.825970 0.000000 0.929952 13.096232 2.267166 0.000000 15.659207 0.752516 0.120896 
5000.00 1253.15 100.224825 32.817421 0.000000 0.936309 13.056064 2.314898 0.000000 15.643770 0.745484 0.120896 
5000.00 1248.15 100.223841 32.808823 0.000000 0.942820 13.017232 2.361556 0.000000 15.628061 0.738259 0.120896 
5000.00 1243.15 100.222841 32.800177 0.000000 0.949494 12.979693 2.407173 0.000000 15.612081 0.730841 0.120896 
5000.00 1238.15 100.221737 32.791122 0.000000 0.957288 12.935460 2.451678 0.009871 15.593977 0.721952 0.120896 
5000.00 1233.15 100.219548 32.777906 0.000000 0.976548 12.802041 2.493186 0.132448 15.554519 0.698267 0.120896 
5000.00 1228.15 100.217282 32.764871 0.000000 0.996222 12.675084 2.532220 0.249186 15.516143 0.675120 0.120896 
